row_number,reads_t1,reads_t2,freq_t1,freq_t2,freq_ratio,ln_freq_ratio,abs_ln_freq_ratio
1179,16.0,0.0,3.3154169582334134e-06,0.0,3.0161209024031775e-05,-10.408953928624275,10.408953928624275
1878,15.0,0.0,3.108203398343825e-06,0.0,3.2171891602757405e-05,-10.34441741823195,10.34441741823195
267,11.0,0.0,2.2793491587854716e-06,0.0,4.387024804417295e-05,-10.034274188729354,10.034274188729354
2775,10.0,0.0,2.0721355988958832e-06,0.0,4.825706114366602e-05,-9.93896839594021,9.93896839594021
1259,10.0,0.0,2.0721355988958832e-06,0.0,4.825706114366602e-05,-9.93896839594021,9.93896839594021
1378,9.0,0.0,1.8649220390062949e-06,0.0,5.361866932858399e-05,-9.833613242163691,9.833613242163691
1021,9.0,0.0,1.8649220390062949e-06,0.0,5.361866932858399e-05,-9.833613242163691,9.833613242163691
1463,8.0,0.0,1.6577084791167067e-06,0.0,6.032059870587752e-05,-9.715836908818513,9.715836908818513
2241,8.0,0.0,1.6577084791167067e-06,0.0,6.032059870587752e-05,-9.715836908818513,9.715836908818513
2911,6.0,0.0,1.24328135933753e-06,0.0,8.042584782940587e-05,-9.428174943030827,9.428174943030827
1088,5.0,0.0,1.0360677994479416e-06,0.0,9.650946502417742e-05,-9.245869471277073,9.245869471277073
1861,5.0,0.0,1.0360677994479416e-06,0.0,9.650946502417742e-05,-9.245869471277073,9.245869471277073
3423,4.0,0.0,8.288542395583534e-07,0.0,0.0001206339207014341,-9.02275004703806,9.02275004703806
2474,4.0,0.0,8.288542395583534e-07,0.0,0.0001206339207014341,-9.02275004703806,9.02275004703806
3227,4.0,0.0,8.288542395583534e-07,0.0,0.0001206339207014341,-9.02275004703806,9.02275004703806
2536,4.0,0.0,8.288542395583534e-07,0.0,0.0001206339207014341,-9.02275004703806,9.02275004703806
2637,4.0,0.0,8.288542395583534e-07,0.0,0.0001206339207014341,-9.02275004703806,9.02275004703806
2678,4.0,0.0,8.288542395583534e-07,0.0,0.0001206339207014341,-9.02275004703806,9.02275004703806
2068,3.0,0.0,6.21640679668765e-07,0.0,0.00016083876006516966,-8.735108185084727,8.735108185084727
29,3.0,0.0,6.21640679668765e-07,0.0,0.00016083876006516966,-8.735108185084727,8.735108185084727
2108,3.0,0.0,6.21640679668765e-07,0.0,0.00016083876006516966,-8.735108185084727,8.735108185084727
772,3.0,0.0,6.21640679668765e-07,0.0,0.00016083876006516966,-8.735108185084727,8.735108185084727
1942,3.0,0.0,6.21640679668765e-07,0.0,0.00016083876006516966,-8.735108185084727,8.735108185084727
2750,2.0,0.0,4.144271197791767e-07,0.0,0.00024123873982785768,-8.32972349312313,8.32972349312313
130,2.0,0.0,4.144271197791767e-07,0.0,0.00024123873982785768,-8.32972349312313,8.32972349312313
962,2.0,0.0,4.144271197791767e-07,0.0,0.00024123873982785768,-8.32972349312313,8.32972349312313
2410,2.0,0.0,4.144271197791767e-07,0.0,0.00024123873982785768,-8.32972349312313,8.32972349312313
1593,2.0,0.0,4.144271197791767e-07,0.0,0.00024123873982785768,-8.32972349312313,8.32972349312313
2080,2.0,0.0,4.144271197791767e-07,0.0,0.00024123873982785768,-8.32972349312313,8.32972349312313
1824,2.0,0.0,4.144271197791767e-07,0.0,0.00024123873982785768,-8.32972349312313,8.32972349312313
2859,2.0,0.0,4.144271197791767e-07,0.0,0.00024123873982785768,-8.32972349312313,8.32972349312313
3579,2.0,0.0,4.144271197791767e-07,0.0,0.00024123873982785768,-8.32972349312313,8.32972349312313
903,2.0,0.0,4.144271197791767e-07,0.0,0.00024123873982785768,-8.32972349312313,8.32972349312313
2501,2.0,0.0,4.144271197791767e-07,0.0,0.00024123873982785768,-8.32972349312313,8.32972349312313
