53,30
229,199
722,587
956,878
48,21
139,52
1233,1309
1170,1232
583,492
824,666
833,660
281,257
739,720
442,220
1354,1225
531,421
1648,1725
1626,1947
1230,1046
969,798
1085,1106
786,735
356,266
913,956
33,16
974,964
337,265
411,373
175,137
1702,2037
782,709
2319,2228
375,262
1419,1293
1418,976
619,393
484,587
1041,824
792,605
965,807
2449,2449
706,645
1146,969
562,567
793,947
1430,861
31,14
771,610
1076,1109
1214,1110
982,1064
805,669
697,841
658,537
1017,1046
926,881
921,580
32,24
1053,963
1109,996
1580,1688
768,563
610,524
270,675
1467,1597
104,82
662,542
1264,1070
1036,856
2417,2187
1326,1156
4425,4461
321,299
209,133
1215,768
377,652
1597,1452
206,125
1478,1647
906,604
1481,1266
2730,2429
671,495
1258,946
819,823
1054,1252
727,612
8,109
956,803
1272,1040
660,374
1311,1339
1668,1417
552,475
838,1133
824,820
1182,981
633,544
1063,867
1018,846
1058,832
2592,2897
927,1158
198,243
694,397
1571,1464
1431,1167
1392,978
1674,1583
621,538
122,134
1101,1042
1552,1025
997,938
209,144
115,31
571,269
1322,917
355,215
128,104
1456,1434
726,401
824,650
1968,1588
897,754
407,301
6092,5621
673,430
127,60
610,1028
1551,1095
1749,1460
1689,1401
872,933
187,161
1268,1400
1544,1193
400,134
442,372
991,968
1989,2098
2035,2031
848,824
1578,1154
1134,1200
2011,2128
1107,849
1176,1043
518,268
620,520
1622,1494
696,668
642,503
3243,3605
1205,1035
714,696
934,595
835,478
920,593
977,907
1987,2125
1046,1159
751,574
326,334
1671,1629
1018,866
1017,1000
1645,1431
1308,1023
590,503
1323,1072
1609,1446
1246,851
843,751
1348,822
1807,1490
853,708
1705,1718
1032,877
1193,1114
1927,1685
2034,2367
2440,2034
1153,884
1097,794
515,388
1684,1828
1681,1802
734,557
665,282
1908,1307
1121,812
1109,962
706,618
1300,1064
1669,1286
955,528
1709,1312
1015,206
1567,1417
2027,1408
2648,2141
1532,1463
1832,1285
452,401
1069,622
581,482
1163,967
1544,1347
975,633
315,208
1890,1843
145,127
2274,2516
184,65
465,557
1270,902
1423,1194
1825,1161
996,796
1401,1205
1070,1398
947,1097
1835,2017
641,268
1237,1330
848,698
802,665
1522,949
2471,2109
2461,2233
658,637
826,464
1873,1824
959,845
1254,981
339,816
920,795
518,643
1634,1456
1352,1093
3542,3610
697,484
1110,1126
1107,826
700,595
186,241
250,125
441,363
1494,1344
976,953
914,670
774,534
1174,734
630,500
1193,1009
2287,2303
