0,37
0,80
0,182
0,1123
0,2
0,21
0,1082
0,1769
0,543
0,528
0,665
0,191
0,898
0,66
649,1199
0,220
0,2779
0,6501
0,1313
0,629
0,1733
0,1072
0,363
0,1348
0,82
0,1416
0,152
0,283
0,609
0,7224
0,826
1945,4333
0,182
0,2199
303,629
0,280
0,1932
0,879
0,235
0,790
2265,5011
0,633
0,931
0,623
0,2074
135,171
0,7
0,547
0,1428
0,1493
0,2092
0,542
0,1543
0,265
0,2586
0,1033
0,238
0,35
0,817
0,990
0,3879
449,491
385,511
412,556
1806,4297
0,28
47,194
384,824
47,861
1439,2755
88,1115
3016,6033
411,359
26,18
231,371
2,1862
1032,2302
0,31
8,4493
343,629
1323,3104
1277,2507
257,220
351,776
165,380
2867,2966
0,405
2,6
1,657
111,314
0,93
0,3692
411,1231
0,242
75,1042
317,791
390,777
1,707
150,417
247,410
152,873
2305,5530
862,2951
94,123
0,145
814,1833
441,1007
228,529
622,1647
0,375
0,119
1398,1442
168,491
310,1177
115,388
1,4
18,25
188,410
34,89
9,123
835,2485
17,122
0,459
704,1209
82,251
0,703
3812,8136
0,162
0,7
139,2011
534,953
772,1588
475,904
0,1263
178,231
1512,3608
588,1465
1,5
14,65
1,1567
2026,4378
1488,3319
0,914
403,806
2054,2250
1433,3533
134,486
1,1180
129,127
118,590
877,1887
0,1084
178,299
3055,6879
0,993
279,968
147,192
234,177
183,239
1246,1319
3941,6690
855,2045
294,237
302,683
988,1930
229,421
413,1013
1204,2289
911,1401
703,613
286,632
296,929
311,641
334,751
144,259
1106,2455
3,724
1213,2742
1157,1201
519,979
1037,2625
1313,4517
1391,2972
174,438
123,391
0,187
2124,4651
1157,2334
137,270
0,142
365,676
533,1091
0,707
0,458
648,1183
493,854
272,411
582,1036
5,6
889,1807
327,429
407,1561
936,837
227,402
0,315
104,106
340,314
890,1615
1327,2191
393,365
65,153
717,1276
18,44
2062,4748
7,10
2,1168
340,586
229,426
262,386
495,529
553,1160
2409,7164
152,967
2811,8224
202,183
252,742
896,1020
108,230
25,549
879,2180
1439,3029
531,492
203,134
791,1886
531,540
239,703
651,814
265,752
318,407
684,1351
955,2008
3631,8734
620,796
422,1106
626,598
458,472
173,608
0,1
0,284
944,1982
221,410
284,565
0,412
129,253
103,669
367,1021
2443,5211
87,108
650,1235
0,21
418,393
271,231
0,1164
2023,4875
771,690
289,502
50,316
1308,3601
287,505
1713,3937
432,859
1012,949
2170,3894
351,702
0,0
5,658
629,937
0,263
482,972
477,1268
199,207
1489,3067
5,1
546,421
426,755
36,191
222,296
72,1422
138,239
1525,3459
0,20
0,779
0,322
90,1261
259,188
35,932
350,416
1033,2449
213,339
261,434
631,1480
491,781
164,260
128,225
1,2221
119,189
1277,3798
83,235
10,8
57,204
0,410
665,1237
1403,1354
954,2077
35,66
427,3502
414,314
390,710
1,168
140,198
375,718
0,854
828,874
353,623
139,159
188,326
431,758
738,690
238,196
603,566
148,223
594,730
0,2599
0,408
429,306
702,727
909,885
708,1182
809,1440
1503,1691
886,813
303,535
221,435
11,5
246,512
586,1302
939,1820
123,131
83,193
295,509
2154,5215
1573,1782
0,2013
436,430
4,75
256,388
32,12
1515,1516
1917,1860
1649,3843
2291,2246
69,71
1591,2527
610,776
348,521
155,172
67,80
108,186
2612,2686
1288,1397
1638,4219
1236,4022
0,280
334,484
702,670
800,1648
558,602
368,901
586,1295
357,635
875,2032
2,763
146,83
242,388
1375,1523
223,308
2,4
118,204
431,961
138,715
1687,2763
717,833
290,457
264,552
85,157
900,1807
44,121
361,478
0,308
713,1249
638,1527
186,235
1530,1693
0,1330
1190,2249
269,302
75,83
147,237
35,23
103,70
957,2040
8,25
0,9
513,1092
202,156
459,1268
25,732
1586,3258
127,539
1549,2693
0,203
724,977
0,84
350,602
250,418
596,1197
16,44
1982,2005
515,990
762,1743
1064,2186
16,27
184,204
0,293
592,1028
76,542
918,2038
1047,1792
765,1415
1156,1080
740,1679
0,691
46,198
85,8320
1,244
0,1010
0,257
0,935
0,81
0,587
508,938
408,627
2,224
0,559
0,1
3,4
98,275
1,341
1059,2503
2,3
368,659
225,211
91,170
1008,1007
297,505
407,1047
825,1590
1304,2553
147,251
566,683
1161,980
192,191
1685,2978
1472,3579
313,578
1054,1143
1355,3597
277,439
36,285
224,638
1646,1795
362,436
40,129
653,1460
385,379
6,732
20,37
86,80
88,141
761,1592
6,7
373,401
294,534
729,3296
451,477
143,242
253,205
2031,2609
1054,2234
1241,2196
0,1256
1882,1875
318,1203
275,242
963,910
792,1537
3268,8534
182,138
368,600
150,252
337,574
567,1121
435,803
169,164
173,120
24,40
895,1842
879,2208
341,608
1307,1373
199,286
