14,65,18,7,19,11,0,0
115,123,59,72,51,23,0,3
267,234,157,91,65,50,0,8
0,0,0,0,0,0,0,0
17,7,5,2,0,2,0,0
15,38,15,1,3,0,0,2
2,0,0,2,0,0,0,0
959,1055,740,911,987,776,0,313
277,424,298,141,173,103,0,78
414,451,265,375,284,234,0,27
0,1,0,0,0,0,0,0
152,256,150,83,95,59,0,31
82,552,306,34,36,27,0,111
110,196,66,8,5,4,0,1
501,870,679,523,322,252,29,350
274,360,208,93,124,74,0,19
708,1228,919,738,556,748,0,494
124,1450,924,166,203,296,0,1785
283,926,471,91,144,111,0,132
95,497,315,41,48,43,0,72
789,755,508,705,726,736,0,346
442,639,463,409,512,406,0,158
171,308,158,113,100,76,0,21
535,759,624,612,537,593,0,237
6,17,9,0,2,4,0,1
201,766,491,81,125,82,0,142
163,225,131,80,122,75,0,13
132,285,184,42,65,48,0,62
7,59,28,4,2,5,0,8
1201,1484,983,1095,1031,883,0,366
119,276,250,104,155,120,0,69
884,832,1188,1666,1091,822,325,1026
87,220,106,26,28,16,0,21
742,809,503,751,732,797,0,406
767,782,587,274,137,95,14,74
7,354,81,3,2,6,0,9
100,404,327,169,259,264,0,541
764,715,501,704,562,509,0,111
689,592,325,447,264,243,0,1931
118,418,199,41,43,46,0,37
1512,1701,1589,1795,1349,1098,41,871
223,435,267,298,220,249,0,82
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
462,707,629,870,849,942,0,500
1019,665,442,391,177,142,15,50
8,14,2,4,3,3,0,0
600,529,335,298,274,161,0,72
533,963,763,614,808,792,0,630
338,664,467,172,297,250,0,181
623,769,618,1003,909,999,0,313
304,576,305,181,219,177,0,44
268,580,434,294,371,330,0,216
412,392,264,321,209,157,0,35
528,1000,956,1143,1111,1473,0,1037
478,602,391,374,384,308,0,99
698,586,360,401,307,179,0,31
0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1
542,857,598,562,375,419,0,126
729,1301,1124,1170,1242,1369,0,956
279,182,212,177,76,52,13,93
412,145,121,28,7,9,9,42
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
35,37,21,19,21,6,0,1
0,0,0,0,0,0,0,0
71,345,196,16,17,18,0,35
32,621,214,16,22,15,0,109
0,0,0,0,0,0,0,0
78,269,12,3,2,2,0,12
2106,2178,1969,1348,1014,803,46,897
158,158,139,51,15,11,3,32
0,0,0,0,0,0,0,0
467,490,232,91,59,47,4,66
41,48,6,2,0,4,0,0
716,491,315,103,32,28,5,231
0,0,0,0,0,0,0,0
879,1435,1225,1534,1920,1792,0,1194
303,222,204,258,145,154,38,69
571,375,247,273,131,103,26,45
569,1077,676,311,424,328,0,226
344,214,211,68,16,12,0,10
148,398,239,49,51,54,0,60
336,241,156,87,59,58,1,17
0,0,0,0,0,0,0,0
100,405,180,15,26,8,0,24
8,42,2,0,0,0,0,0
193,586,301,42,59,65,0,143
835,752,277,180,127,101,3,32
298,387,257,125,117,86,0,30
276,1152,878,322,393,494,0,751
178,642,388,52,76,55,0,76
0,0,1,0,0,0,0,0
450,500,331,245,258,212,0,81
257,301,227,171,156,138,0,47
279,347,185,150,150,116,0,38
0,0,0,0,0,0,0,0
150,427,204,21,41,26,0,24
147,294,164,40,36,25,0,16
600,785,449,260,285,182,1,92
0,0,0,0,0,0,0,0
286,313,282,269,239,261,13,429
100,343,48,33,27,16,3,18
428,500,272,234,153,140,0,26
360,340,432,576,321,181,63,81
800,922,690,203,162,109,18,164
660,639,412,105,83,61,14,84
500,803,392,35,11,10,0,91
0,0,0,0,0,0,0,0
47,120,95,33,50,35,0,4
0,0,0,0,0,0,0,0
323,486,300,94,48,29,3,50
635,664,497,388,261,206,3,47
75,69,65,64,23,9,2,8
39,25,6,2,7,2,0,0
166,131,59,15,2,3,0,3
402,471,271,95,127,73,0,37
244,184,112,49,44,20,6,39
41,74,43,33,39,25,0,20
0,0,0,0,0,0,0,0
145,181,84,26,27,11,0,6
0,0,0,0,0,0,0,0
1277,1097,866,803,506,419,6,195
0,0,0,0,0,0,0,0
40,231,87,27,24,24,0,26
1569,2340,1800,1563,1793,1540,0,774
317,378,211,109,105,95,0,43
15,71,27,6,5,1,0,1
37,165,28,13,11,29,0,72
644,826,439,259,93,68,13,120
908,1148,814,867,610,482,7,212
1214,1005,749,750,441,409,34,292
0,0,1,0,0,0,0,0
159,91,49,11,6,7,0,26
729,869,788,866,656,614,16,443
1080,1008,738,814,602,531,28,353
30,43,14,5,2,1,0,3
69,74,16,3,2,2,1,1
0,0,0,0,0,0,0,0
692,646,828,747,425,288,76,305
704,661,642,672,408,313,72,201
571,666,406,482,490,377,0,107
766,803,611,452,404,238,37,125
745,599,693,629,272,200,27,406
924,1045,878,258,338,300,0,567
833,650,517,373,356,245,23,75
0,0,0,0,0,0,0,0
395,206,250,223,93,58,23,31
115,133,89,60,45,31,0,22
634,764,627,798,517,371,162,127
234,545,299,116,156,128,0,153
441,395,214,91,57,33,0,15
1079,913,1073,1011,436,265,28,613
705,989,695,636,622,679,0,340
256,200,160,70,27,7,3,19
0,0,0,0,0,0,0,0
594,348,248,197,117,71,23,17
421,309,273,211,150,93,42,33
542,639,757,989,730,554,209,298
1274,1855,2345,3006,2465,2813,413,3713
0,1,0,0,0,0,0,0
509,365,335,359,209,153,62,58
188,92,75,6,3,4,2,22
543,378,412,146,38,19,1,102
449,477,323,227,140,118,11,16
343,686,408,142,101,75,10,110
533,503,553,649,309,251,56,197
195,267,185,112,134,123,0,15
0,0,0,0,0,0,0,0
379,724,501,151,71,40,3,40
441,585,375,222,200,124,0,24
254,450,177,139,110,72,0,45
292,416,325,221,157,93,24,83
470,386,214,173,144,107,0,13
1171,1097,1068,1192,957,735,63,388
548,540,380,402,367,305,0,129
432,387,518,669,418,336,120,178
645,458,389,264,70,55,9,673
548,867,601,224,131,90,9,169
1217,1421,951,1223,1047,913,29,348
1349,1382,1523,1871,1524,1770,193,992
1583,1483,1362,1257,898,755,87,590
564,609,446,401,239,194,70,49
547,473,277,263,179,177,0,27
109,292,157,44,52,30,0,31
817,887,912,636,325,238,17,917
299,531,475,895,775,937,0,438
41,105,42,7,6,4,0,2
18,267,55,5,5,4,0,0
1394,1078,662,413,360,270,18,91
800,891,743,642,578,373,16,240
622,796,410,488,376,345,0,128
462,467,283,223,232,169,0,40
789,789,736,433,332,256,12,155
931,763,600,538,367,292,29,66
596,447,282,97,55,41,6,73
881,924,601,520,345,296,62,131
404,169,50,21,9,5,1,1
0,0,0,0,0,0,0,0
986,1032,674,445,217,155,22,35
1724,1509,1070,1308,909,822,18,247
1267,893,840,605,296,206,41,92
928,706,403,197,168,128,4,70
240,252,123,77,71,47,0,20
476,518,283,132,71,50,9,18
406,339,249,176,73,43,3,19
670,553,630,473,234,195,31,151
597,499,663,872,614,562,242,350
650,412,360,351,186,122,33,60
30,38,11,10,7,2,0,10
914,819,722,637,444,320,38,92
54,76,16,5,16,10,0,0
0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0
314,504,393,383,492,455,0,529
523,610,551,569,429,299,21,70
152,100,75,77,52,41,3,6
1025,956,526,475,224,170,18,68
407,449,338,246,133,94,7,56
407,230,191,47,8,4,2,36
500,984,781,418,641,602,2,1714
0,0,0,0,0,0,0,0
998,1732,2022,2034,2184,2503,36,6435
472,261,191,199,49,45,10,17
901,1008,492,612,440,372,5,251
0,1,0,0,0,0,0,0
317,280,215,115,95,72,1,15
0,0,0,0,0,0,0,0
1827,1870,1303,1328,1089,803,1,251
466,931,654,314,342,346,0,250
368,324,175,99,26,17,4,80
471,283,210,88,15,14,11,19
1132,1063,734,509,494,376,1,158
469,312,184,36,3,5,4,21
538,568,340,87,89,55,2,71
0,0,0,0,0,0,0,0
212,335,164,61,19,15,1,45
164,146,56,40,14,12,1,8
1515,1118,883,1170,771,578,60,156
568,392,464,308,102,96,14,301
922,1481,1168,999,1347,1158,0,952
8,1,8,5,8,8,0,0
725,851,483,588,528,407,35,129
528,320,374,350,171,130,18,27
331,211,198,179,106,76,45,2
1,48,22,2,1,1,0,16
159,116,35,19,8,10,0,0
127,295,134,62,54,51,0,42
666,997,844,839,495,463,109,210
202,206,92,14,12,4,0,14
409,634,423,250,84,88,7,87
72,433,215,27,22,34,0,50
655,589,369,156,98,52,7,69
249,380,232,124,93,137,2,86
733,987,561,652,474,453,23,193
1032,1684,1819,1330,952,860,35,1048
362,183,101,38,10,17,7,32
794,871,760,567,424,292,22,149
25,50,12,9,8,9,0,3
326,184,205,67,13,8,0,46
0,0,0,0,0,0,0,0
463,792,531,491,476,454,0,155
1442,2169,1963,1556,1204,1212,158,1377
710,517,472,345,134,77,7,126
492,439,369,170,116,82,3,52
141,273,135,79,104,51,1,71
971,1067,1048,1401,1205,1260,10,1494
627,356,321,219,94,70,18,63
1899,1756,1613,1302,1167,1086,3,625
861,863,716,537,332,282,28,120
784,705,776,892,430,389,61,347
1137,1513,1494,1805,1204,1176,85,673
1137,1001,620,265,219,177,5,246
65,20,4,0,0,0,0,0
272,517,359,153,202,203,0,111
262,225,258,61,53,49,3,161
268,221,105,121,97,76,0,9
907,906,680,752,501,449,7,118
708,678,506,474,398,378,2,291
0,0,0,0,0,0,0,0
498,894,531,620,541,586,0,239
44,16,25,16,10,6,0,0
489,331,273,191,55,36,4,50
58,413,191,18,11,17,0,29
132,78,23,1,4,1,4,6
365,429,308,130,92,47,3,47
0,1,0,0,0,0,0,1
674,488,340,173,113,83,9,41
1559,1832,1679,2584,1694,2006,105,1319
426,314,140,96,33,22,1,3
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
257,624,316,267,322,433,3,248
210,166,163,134,70,44,5,20
219,538,349,111,162,146,1,180
284,182,217,93,34,27,1,45
739,1078,1288,1458,1174,1114,92,1412
542,450,337,188,101,93,7,71
354,298,197,176,91,59,15,12
773,772,646,320,225,200,2,202
444,288,304,138,26,15,2,38
500,676,388,243,107,106,31,92
