Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3,Estimated_Read_Number_t4,Estimated_Read_Number_t5,Estimated_Read_Number_t6,Estimated_Read_Number_t7,Estimated_Read_Number_t8,Estimated_Read_Number_t9
0.004853499706495996,-115.04343732937629,,1137,1354,1223,1655,1679,1526,2126,1277,1054,918
0.0007627274643221601,-77.35811723830648,,1102,1189,1018,1387,1197,1071,1380,775,573,414
0.008064550132594845,-127.07159216579139,,1444,1857,2121,3087,3040,3335,4526,3069,2715,2891
-0.011647900543455603,-102.56379589278205,,620,496,449,465,272,315,275,161,187,123
-0.010531031056197994,-231.83028650771905,,81,66,351,575,295,394,312,222,208,200
-0.014686924153459666,-477.8385947509499,,166,123,211,319,578,819,723,253,191,421
0.0033461543710738284,-61.87021814151748,,1177,1351,1777,2387,1981,2323,3037,1978,2266,2087
-0.011990536674425609,-34.941000845643174,,128,101,56,49,59,40,31,12,6,4
-0.0007166899199033414,-72.37840165760534,,386,402,591,755,770,741,810,365,225,231
-0.001772833868274812,-54.62283417777573,,1527,1551,1413,1680,1229,1228,1528,848,887,549
0.003690313474356588,-106.95626215226525,,398,460,1059,1377,1242,1348,1557,941,635,615
0.0005263394378284261,-57.65770843669146,,2900,3112,2813,3367,2750,3073,3757,2184,2199,1876
0.002132349704029048,-109.67020996662359,,483,538,1176,1524,1309,1294,1433,761,538,457
-0.000886623481986603,-69.0369933471059,,5180,5375,4683,5917,4531,5071,5993,3427,3483,2735
-0.007796625450359544,-117.01760797236533,,183,160,319,427,275,344,328,180,239,131
-0.012798728105325577,-43.44291358837679,,74,57,90,74,31,46,31,18,21,10
-0.0015991753244275547,-53.27663434958687,,860,877,1057,1151,865,818,839,473,421,300
-0.031431548434348276,-2093.7856405937646,,258,128,133,608,88,75,1543,351,438,761
0.004697153492657634,-147.24062290894423,,604,716,1899,2794,2238,2847,3701,2291,2127,2308
0.0024614070058136483,-64.22706207028037,,213,239,151,172,125,103,89,73,45,15
0.009873490161475984,-180.2863087786535,,1515,2035,2218,3381,3393,3716,5557,3729,3521,3796
-0.002654758383577412,-71.21643228684762,,1102,1095,840,1116,759,863,721,575,450,357
0.0012191316043899158,-63.617487382027896,,2131,2325,1995,2240,1762,2024,2407,1532,1694,1540
-0.00559557577288661,-60.80127845019644,,3216,2980,2197,2291,1695,1614,1702,838,758,474
-0.008003931237873827,-91.13683862828478,,312,272,506,438,280,278,233,124,117,53
-0.0024125553142826835,-54.869998970928386,,1101,1101,1299,1417,978,966,1113,598,556,383
-0.0004967938322914733,-59.61832848783982,,669,700,820,931,923,957,1036,511,425,335
-0.013194754733012026,-2403.084430799381,,1343,1037,1504,2307,1775,3060,4398,2925,4786,3463
-0.00014780401153893178,-68.8549610915478,,542,572,605,713,644,449,594,348,242,146
0.007800419967391942,-65.56998449026214,,4,5,16,16,47,45,17,5,8,8
-0.0003906609998738371,-71.69834674544839,,738,774,729,936,784,549,627,407,286,193
-0.01323162074938405,-50.61839614964319,,1452,1120,660,578,419,328,267,128,80,37
-0.0004414456325880743,-71.99314767160874,,660,692,566,779,689,624,630,362,297,149
0.007654932376738436,-138.92869685027495,,912,1161,1756,2544,2582,2665,3824,2511,1973,2002
0.0010105905758739883,-65.68007086449717,,1172,1272,1577,1940,1494,1385,1658,1018,985,677
-0.0010848275698504793,-57.13705746408613,,537,554,520,649,504,418,431,290,189,120
0.003733429492626625,-90.76984942090718,,878,1017,1001,1355,1519,1650,1954,1029,755,934
0.0011727467429033683,-53.43498953923488,,1110,1210,1092,1488,1196,1328,1726,970,1018,813
-0.002326423080711502,-51.3459149794958,,1479,1482,1208,1356,1048,1072,1261,749,646,492
-0.0006055717461278341,-61.46499100641751,,672,702,633,752,706,561,654,364,302,190
-0.00047359703431158057,-66.01185279956897,,671,703,920,1180,1031,916,1159,581,403,365
-0.002928217873593361,-49.263030229484364,,1004,991,867,953,721,637,756,454,339,231
0.00581087089076893,-101.98103301995283,,952,1160,1216,1485,1274,1258,1517,1051,815,850
