93,48,83,98,5,27,42,54,7
207,152,145,123,77,64,77,73,91
376,335,229,211,109,87,143,87,101
0,0,0,0,0,0,0,0,0
56,25,6,0,0,0,0,0,0
155,39,27,17,2,12,3,6,1
0,0,0,3,1,1,2,1,10
656,1123,1124,1567,1987,968,1588,1295,2555
330,484,495,617,445,522,803,1106,1090
370,358,321,324,365,162,292,216,368
0,0,0,0,0,0,0,0,0
184,245,207,194,62,69,62,30,16
402,440,547,521,47,367,478,337,36
270,264,100,15,2,1,2,1,0
848,906,991,1860,732,1699,2290,2344,2918
325,378,184,36,8,5,7,4,0
786,1324,1266,1633,498,1011,1517,1117,984
381,919,1584,1717,62,801,978,648,59
631,765,762,793,109,522,712,559,99
400,372,544,656,44,518,548,484,59
532,880,688,837,674,520,712,631,907
414,599,548,593,429,362,602,456,603
201,224,129,108,79,47,91,48,59
472,797,734,554,231,250,283,218,147
19,15,58,21,0,16,5,6,1
491,667,701,615,89,333,426,345,40
188,245,97,94,36,50,45,42,33
250,252,159,129,27,86,135,112,47
38,25,398,115,4,95,43,34,6
629,1523,1316,1744,1885,1154,1853,1523,2614
526,291,279,293,76,152,221,156,94
595,1345,870,1869,1021,775,705,372,561
214,212,172,200,19,105,127,101,26
522,886,822,1275,1076,656,1167,866,2066
1058,972,849,1509,479,928,1071,860,574
290,158,347,391,5,269,253,190,5
201,358,555,406,112,307,447,266,102
541,802,787,860,941,487,717,611,780
473,651,582,763,617,373,537,423,550
418,373,431,369,35,186,199,173,30
1584,2109,1790,2646,1215,1548,1905,1314,1567
451,537,393,413,131,282,415,345,405
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1
414,754,699,549,206,256,335,227,293
893,946,847,1180,671,555,581,400,355
31,12,19,18,2,8,8,13,17
418,640,607,701,698,529,732,606,950
438,1032,871,869,453,453,714,479,462
649,775,700,571,152,326,454,319,170
409,891,913,984,635,552,793,655,899
380,493,601,636,232,461,555,461,261
312,600,587,609,255,340,531,368,192
376,458,483,499,328,287,432,364,517
339,968,886,935,384,461,658,407,415
505,623,589,745,494,437,586,429,492
476,533,656,725,738,456,598,525,653
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1
534,764,694,582,216,335,403,338,425
717,1269,1228,1569,838,1048,1552,1253,1219
573,348,257,419,95,180,140,124,100
435,111,443,600,15,363,102,255,32
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
93,42,51,56,15,42,39,56,48
0,0,0,0,0,0,0,0,0
323,327,412,494,39,499,666,778,82
376,338,822,852,17,866,1004,1171,36
0,0,0,0,0,0,0,0,0
181,47,104,123,1,179,110,143,7
2256,3029,2900,5305,2493,4780,6947,6687,8245
257,137,169,387,38,420,339,376,152
0,0,0,0,0,0,0,0,0
814,539,539,701,55,434,590,540,224
188,39,20,4,5,1,1,1,1
537,424,651,1672,58,1964,1583,2096,480
0,0,0,0,0,0,0,0,0
590,1339,1439,1604,1300,1167,2042,1936,3292
409,397,299,694,574,638,748,580,1998
476,717,350,716,592,603,767,476,1477
633,1042,880,926,314,774,1152,1412,935
644,313,312,464,23,318,198,212,63
316,434,411,537,88,569,882,1058,271
485,367,296,544,115,519,505,491,489
0,0,0,0,0,0,0,0,0
342,387,405,388,30,221,318,310,24
149,23,30,28,0,50,8,23,2
547,554,546,565,70,501,672,757,118
1335,833,663,523,207,191,161,166,181
470,407,278,267,139,228,232,348,220
630,846,1337,1227,155,1279,1567,1792,587
551,640,682,776,77,651,952,1147,270
0,0,0,0,0,0,1,0,0
391,562,579,761,452,572,1002,923,1543
281,303,339,421,295,560,967,1088,2045
318,372,264,338,232,317,412,447,588
0,0,0,0,0,0,0,0,0
399,396,487,485,50,512,716,831,148
339,284,291,308,87,300,397,518,318
797,690,800,979,477,773,928,1070,1291
0,0,0,0,1,1,0,0,0
378,491,479,1158,331,1702,1613,1922,2248
352,271,109,161,9,281,283,281,101
327,474,500,408,214,378,498,706,770
697,643,480,584,406,443,433,290,464
985,904,1412,2575,348,2973,3468,5184,1492
762,565,1003,1530,199,1725,1434,2137,520
930,454,1320,1838,29,2206,1332,2525,128
0,0,0,0,0,0,0,0,0
57,121,77,44,16,30,41,30,7
0,0,0,0,0,0,0,0,0
1021,421,678,826,134,869,806,991,274
633,776,803,1103,537,672,568,487,498
96,97,338,157,64,227,167,170,200
203,45,19,3,1,0,1,0,0
776,176,109,27,4,5,1,1,0
398,552,525,677,372,823,1274,1561,963
299,309,180,202,66,300,159,238,134
69,77,110,59,41,72,74,73,73
0,0,0,0,0,0,0,0,0
456,266,152,95,19,48,54,44,14
0,0,0,0,0,0,0,0,0
1289,1426,1231,1801,676,1129,1199,826,1042
0,0,0,0,0,0,0,0,0
124,120,361,171,19,97,50,46,6
1578,2409,2292,2230,1518,1257,1861,1376,1313
381,378,419,342,118,162,161,166,105
79,66,10,7,4,5,2,2,0
186,89,167,163,4,239,30,39,9
1187,850,1210,1850,257,1238,1107,947,297
1081,1241,1084,1606,835,1023,1175,999,1350
1117,1364,1269,2032,1101,1372,1499,1274,1422
0,0,0,0,0,0,0,0,0
224,121,214,429,9,226,127,136,28
642,1031,937,2055,1121,1725,2753,2281,4415
865,1289,1124,1813,1132,1056,1212,864,1304
223,39,34,29,5,9,19,39,6
324,128,62,121,13,112,54,57,11
0,0,32,4,0,9,0,0,0
