Strain	Polynomial	Condition	Data
YDL076C	non_significant	Nlim	Excluded
YDL082W	non_significant	Nlim	Excluded
YDL089W	non_significant	Nlim	Excluded
YDL130W	non_significant	Nlim	Excluded
YDL155W	non_significant	Nlim	Excluded
YDL162C	non_significant	Nlim	Excluded
YDL168W	non_significant	Nlim	Excluded
YDL172C	non_significant	Nlim	Excluded
YDL177C	non_significant	Nlim	Excluded
YDL180W	non_significant	Nlim	Excluded
YDL184C	non_significant	Nlim	Excluded
YDL188C	non_significant	Nlim	Excluded
YDL200C	non_significant	Nlim	Excluded
YDL215C	non_significant	Nlim	Excluded
YDL218W	non_significant	Nlim	Excluded
YDL223C	non_significant	Nlim	Excluded
YDL234C	non_significant	Nlim	Excluded
YDL241W	non_significant	Nlim	Excluded
YDR009W	non_significant	Nlim	Excluded
YDR010C	non_significant	Nlim	Excluded
YDR014W	non_significant	Nlim	Excluded
YDR025W	non_significant	Nlim	Excluded
YDR033W	non_significant	Nlim	Excluded
YDR055W	non_significant	Nlim	Excluded
YDR058C	non_significant	Nlim	Excluded
YDR072C	non_significant	Nlim	Excluded
YDR083W	non_significant	Nlim	Excluded
YDR093W	non_significant	Nlim	Excluded
YDR094W	non_significant	Nlim	Excluded
YDR098C	non_significant	Nlim	Excluded
YDR100W	non_significant	Nlim	Excluded
YDR101C	non_significant	Nlim	Excluded
YDR109C	non_significant	Nlim	Excluded
YDR110W	non_significant	Nlim	Excluded
YDR119W	non_significant	Nlim	Excluded
YDR120C	non_significant	Nlim	Excluded
YDR122W	non_significant	Nlim	Excluded
YDR151C	non_significant	Nlim	Excluded
YDR154C	non_significant	Nlim	Excluded
YDR155C	non_significant	Nlim	Excluded
YDR179C	non_significant	Nlim	Excluded
YDR179W.A	non_significant	Nlim	Excluded
YDR184C	non_significant	Nlim	Excluded
YDR185C	non_significant	Nlim	Excluded
YDR186C	non_significant	Nlim	Excluded
YDR191W	non_significant	Nlim	Excluded
YDR203W	non_significant	Nlim	Excluded
YDR205W	non_significant	Nlim	Excluded
YDR210W	non_significant	Nlim	Excluded
YDR213W	non_significant	Nlim	Excluded
YDR216W	non_significant	Nlim	Excluded
YDR220C	non_significant	Nlim	Excluded
YDR221W	non_significant	Nlim	Excluded
YDR239C	non_significant	Nlim	Excluded
YDR242W	non_significant	Nlim	Excluded
YDR248C	non_significant	Nlim	Excluded
YDR258C	non_significant	Nlim	Excluded
YDR281C	non_significant	Nlim	Excluded
YDR282C	non_significant	Nlim	Excluded
YDR284C	non_significant	Nlim	Excluded
YDR286C	non_significant	Nlim	Excluded
YDR297W	non_significant	Nlim	Excluded
YDR313C	non_significant	Nlim	Excluded
YDR319C	non_significant	Nlim	Excluded
YDR330W	non_significant	Nlim	Excluded
YDR333C	non_significant	Nlim	Excluded
YDR338C	non_significant	Nlim	Excluded
YDR344C	non_significant	Nlim	Excluded
YDR345C	non_significant	Nlim	Excluded
YDR346C	non_significant	Nlim	Excluded
YDR370C	non_significant	Nlim	Excluded
YDR378C	non_significant	Nlim	Excluded
YDR383C	non_significant	Nlim	Excluded
YDR393W	non_significant	Nlim	Excluded
YDR395W	non_significant	Nlim	Excluded
YDR399W	non_significant	Nlim	Excluded
YDR401W	non_significant	Nlim	Excluded
YDR402C	non_significant	Nlim	Excluded
YDR403W	non_significant	Nlim	Excluded
YDR406W	non_significant	Nlim	Excluded
YDR423C	non_significant	Nlim	Excluded
YDR431W	non_significant	Nlim	Excluded
YDR440W	non_significant	Nlim	Excluded
YDR451C	non_significant	Nlim	Excluded
YDR458C	non_significant	Nlim	Excluded
YDR459C	non_significant	Nlim	Excluded
YDR480W	non_significant	Nlim	Excluded
YDR491C	non_significant	Nlim	Excluded
YDR504C	non_significant	Nlim	Excluded
YDR505C	non_significant	Nlim	Excluded
YDR525W.A	non_significant	Nlim	Excluded
YDR528W	non_significant	Nlim	Excluded
YDR530C	non_significant	Nlim	Excluded
YDR533C	non_significant	Nlim	Excluded
YDR534C	non_significant	Nlim	Excluded
YDR535C	non_significant	Nlim	Excluded
YDR536W	non_significant	Nlim	Excluded
YDR540C	non_significant	Nlim	Excluded
YEL006W	non_significant	Nlim	Excluded
YEL012W	non_significant	Nlim	Excluded
YEL016C	non_significant	Nlim	Excluded
YEL017W	non_significant	Nlim	Excluded
YEL028W	non_significant	Nlim	Excluded
YEL038W	non_significant	Nlim	Excluded
YEL049W	non_significant	Nlim	Excluded
YEL052W	non_significant	Nlim	Excluded
YEL067C	non_significant	Nlim	Excluded
YER001W	non_significant	Nlim	Excluded
YER011W	non_significant	Nlim	Excluded
YER019C.A	non_significant	Nlim	Excluded
YER027C	non_significant	Nlim	Excluded
YER030W	non_significant	Nlim	Excluded
YER035W	non_significant	Nlim	Excluded
YER039C	non_significant	Nlim	Excluded
YER047C	non_significant	Nlim	Excluded
YER049W	non_significant	Nlim	Excluded
YER051W	non_significant	Nlim	Excluded
YER053C	non_significant	Nlim	Excluded
YER056C	non_significant	Nlim	Excluded
YER059W	non_significant	Nlim	Excluded
YER060W.A	non_significant	Nlim	Excluded
YER064C	non_significant	Nlim	Excluded
YER066C.A	non_significant	Nlim	Excluded
YER071C	non_significant	Nlim	Excluded
YER080W	non_significant	Nlim	Excluded
YER085C	non_significant	Nlim	Excluded
YER087C.A	non_significant	Nlim	Excluded
YER093C.A	non_significant	Nlim	Excluded
YER097W	non_significant	Nlim	Excluded
YER098W	non_significant	Nlim	Excluded
YER113C	non_significant	Nlim	Excluded
YER114C	non_significant	Nlim	Excluded
YER119C	non_significant	Nlim	Excluded
YER128W	non_significant	Nlim	Excluded
YER135C	non_significant	Nlim	Excluded
YER142C	non_significant	Nlim	Excluded
YER145C	non_significant	Nlim	Excluded
YER150W	non_significant	Nlim	Excluded
YER151C	non_significant	Nlim	Excluded
YER152C	non_significant	Nlim	Excluded
YER155C	non_significant	Nlim	Excluded
YER163C	non_significant	Nlim	Excluded
YER164W	non_significant	Nlim	Excluded
YER176W	non_significant	Nlim	Excluded
YER177W	non_significant	Nlim	Excluded
YER182W	non_significant	Nlim	Excluded
YER184C	non_significant	Nlim	Excluded
YFL004W	non_significant	Nlim	Excluded
YFL027C	non_significant	Nlim	Excluded
YFL040W	non_significant	Nlim	Excluded
YFL043C	non_significant	Nlim	Excluded
YFL046W	non_significant	Nlim	Excluded
YFL048C	non_significant	Nlim	Excluded
YFL050C	non_significant	Nlim	Excluded
YFL052W	non_significant	Nlim	Excluded
YFL054C	non_significant	Nlim	Excluded
YFL063W	non_significant	Nlim	Excluded
YFR008W	non_significant	Nlim	Excluded
YFR011C	non_significant	Nlim	Excluded
YFR012W	non_significant	Nlim	Excluded
YFR016C	non_significant	Nlim	Excluded
YFR018C	non_significant	Nlim	Excluded
YFR032C	non_significant	Nlim	Excluded
YFR056C	non_significant	Nlim	Excluded
YGL004C	non_significant	Nlim	Excluded
YGL015C	non_significant	Nlim	Excluded
YGL016W	non_significant	Nlim	Excluded
YGL032C	non_significant	Nlim	Excluded
YGL034C	non_significant	Nlim	Excluded
YGL035C	non_significant	Nlim	Excluded
YGL063W	non_significant	Nlim	Excluded
YGL078C	non_significant	Nlim	Excluded
YGL079W	non_significant	Nlim	Excluded
YGL083W	non_significant	Nlim	Excluded
YGL087C	non_significant	Nlim	Excluded
YGL131C	non_significant	Nlim	Excluded
YGL132W	non_significant	Nlim	Excluded
YGL144C	non_significant	Nlim	Excluded
YGL151W	non_significant	Nlim	Excluded
YGL153W	non_significant	Nlim	Excluded
YGL156W	non_significant	Nlim	Excluded
YGL161C	non_significant	Nlim	Excluded
YGL164C	non_significant	Nlim	Excluded
YGL166W	non_significant	Nlim	Excluded
YGL170C	non_significant	Nlim	Excluded
YGL175C	non_significant	Nlim	Excluded
YGL179C	non_significant	Nlim	Excluded
YGL181W	non_significant	Nlim	Excluded
YGL196W	non_significant	Nlim	Excluded
YGL198W	non_significant	Nlim	Excluded
YGL199C	non_significant	Nlim	Excluded
YGL202W	non_significant	Nlim	Excluded
YGL208W	non_significant	Nlim	Excluded
YGL213C	non_significant	Nlim	Excluded
YGL215W	non_significant	Nlim	Excluded
YGL216W	non_significant	Nlim	Excluded
YGL226C.A	non_significant	Nlim	Excluded
YGL227W	non_significant	Nlim	Excluded
YGL228W	non_significant	Nlim	Excluded
YGL229C	non_significant	Nlim	Excluded
YGL230C	non_significant	Nlim	Excluded
YGL235W	non_significant	Nlim	Excluded
YGL236C	non_significant	Nlim	Excluded
YGL241W	non_significant	Nlim	Excluded
YGL242C	non_significant	Nlim	Excluded
YGL249W	non_significant	Nlim	Excluded
YGL252C	non_significant	Nlim	Excluded
YGL254W	non_significant	Nlim	Excluded
YGL263W	non_significant	Nlim	Excluded
YGR007W	non_significant	Nlim	Excluded
YGR011W	non_significant	Nlim	Excluded
YGR017W	non_significant	Nlim	Excluded
YGR018C	non_significant	Nlim	Excluded
YGR022C	non_significant	Nlim	Excluded
YGR025W	non_significant	Nlim	Excluded
YGR035C	non_significant	Nlim	Excluded
YGR037C	non_significant	Nlim	Excluded
YGR043C	non_significant	Nlim	Excluded
YGR050C	non_significant	Nlim	Excluded
YGR053C	non_significant	Nlim	Excluded
YGR079W	non_significant	Nlim	Excluded
YGR080W	non_significant	Nlim	Excluded
YGR086C	non_significant	Nlim	Excluded
YGR088W	non_significant	Nlim	Excluded
YGR093W	non_significant	Nlim	Excluded
YGR111W	non_significant	Nlim	Excluded
YGR117C	non_significant	Nlim	Excluded
YGR118W	non_significant	Nlim	Excluded
YGR123C	non_significant	Nlim	Excluded
YGR125W	non_significant	Nlim	Excluded
YGR133W	non_significant	Nlim	Excluded
YGR136W	non_significant	Nlim	Excluded
YGR142W	non_significant	Nlim	Excluded
YGR143W	non_significant	Nlim	Excluded
YGR151C	non_significant	Nlim	Excluded
YGR152C	non_significant	Nlim	Excluded
YGR153W	non_significant	Nlim	Excluded
YGR169C	non_significant	Nlim	Excluded
YGR174C	non_significant	Nlim	Excluded
YGR178C	non_significant	Nlim	Excluded
YGR200C	non_significant	Nlim	Excluded
YGR202C	non_significant	Nlim	Excluded
