Strain	Polynomial	Condition	Data
YNR002C	quadratic	Nlim	Excluded
YNR009W	quadratic	Nlim	Excluded
YNR010W	quadratic	Nlim	Excluded
YNR019W	quadratic	Nlim	Excluded
YNR020C	quadratic	Nlim	Excluded
YNR039C	quadratic	Nlim	Excluded
YNR048W	quadratic	Nlim	Excluded
YNR051C	quadratic	Nlim	Excluded
YNR057C	quadratic	Nlim	Excluded
YNR061C	quadratic	Nlim	Excluded
YNR063W	quadratic	Nlim	Excluded
YNR064C	quadratic	Nlim	Excluded
YNR065C	quadratic	Nlim	Excluded
YOL001W	quadratic	Nlim	Excluded
YOL006C	quadratic	Nlim	Excluded
YOL013C	quadratic	Nlim	Excluded
YOL014W	quadratic	Nlim	Excluded
YOL015W	quadratic	Nlim	Excluded
YOL016C	quadratic	Nlim	Excluded
YOL017W	quadratic	Nlim	Excluded
YOL018C	quadratic	Nlim	Excluded
YOL028C	quadratic	Nlim	Excluded
YOL035C	quadratic	Nlim	Excluded
YOL044W	quadratic	Nlim	Excluded
YOL045W	quadratic	Nlim	Excluded
YOL055C	quadratic	Nlim	Excluded
YOL057W	quadratic	Nlim	Excluded
YOL065C	quadratic	Nlim	Excluded
YOL075C	quadratic	Nlim	Excluded
YOL082W	quadratic	Nlim	Excluded
YOL083W	quadratic	Nlim	Excluded
YOL088C	quadratic	Nlim	Excluded
YOL092W	quadratic	Nlim	Excluded
YOL104C	quadratic	Nlim	Excluded
YOL106W	quadratic	Nlim	Excluded
YOL111C	quadratic	Nlim	Excluded
YOL113W	quadratic	Nlim	Excluded
YOL122C	quadratic	Nlim	Excluded
YOL124C	quadratic	Nlim	Excluded
YOL136C	quadratic	Nlim	Excluded
YOL151W	quadratic	Nlim	Excluded
YOL153C	quadratic	Nlim	Excluded
YOR001W	quadratic	Nlim	Excluded
YOR002W	quadratic	Nlim	Excluded
YOR027W	quadratic	Nlim	Excluded
YOR028C	quadratic	Nlim	Excluded
YOR038C	quadratic	Nlim	Excluded
YOR039W	quadratic	Nlim	Excluded
YOR041C	quadratic	Nlim	Excluded
YOR045W	quadratic	Nlim	Excluded
YOR050C	quadratic	Nlim	Excluded
YOR052C	quadratic	Nlim	Excluded
YOR054C	quadratic	Nlim	Excluded
YOR059C	quadratic	Nlim	Excluded
YOR061W	quadratic	Nlim	Excluded
YOR067C	quadratic	Nlim	Excluded
YOR068C	quadratic	Nlim	Excluded
YOR069W	quadratic	Nlim	Excluded
YOR070C	quadratic	Nlim	Excluded
YOR082C	quadratic	Nlim	Excluded
YOR086C	quadratic	Nlim	Excluded
YOR089C	quadratic	Nlim	Excluded
YOR094W	quadratic	Nlim	Excluded
YOR112W	quadratic	Nlim	Excluded
YOR115C	quadratic	Nlim	Excluded
YOR118W	quadratic	Nlim	Excluded
YOR125C	quadratic	Nlim	Excluded
YOR132W	quadratic	Nlim	Excluded
YOR156C	quadratic	Nlim	Excluded
YOR164C	quadratic	Nlim	Excluded
YOR173W	quadratic	Nlim	Excluded
YOR175C	quadratic	Nlim	Excluded
YOR188W	quadratic	Nlim	Excluded
YOR208W	quadratic	Nlim	Excluded
YOR213C	quadratic	Nlim	Excluded
YOR214C	quadratic	Nlim	Excluded
YOR225W	quadratic	Nlim	Excluded
YOR233W	quadratic	Nlim	Excluded
YOR242C	quadratic	Nlim	Excluded
YOR271C	quadratic	Nlim	Excluded
YOR275C	quadratic	Nlim	Excluded
YOR288C	quadratic	Nlim	Excluded
YOR292C	quadratic	Nlim	Excluded
YOR311C	quadratic	Nlim	Excluded
YOR314W	quadratic	Nlim	Excluded
YOR324C	quadratic	Nlim	Excluded
YOR325W	quadratic	Nlim	Excluded
YOR328W	quadratic	Nlim	Excluded
YOR339C	quadratic	Nlim	Excluded
YOR346W	quadratic	Nlim	Excluded
YOR349W	quadratic	Nlim	Excluded
YOR377W	quadratic	Nlim	Excluded
YOR379C	quadratic	Nlim	Excluded
YOR382W	quadratic	Nlim	Excluded
YPL001W	quadratic	Nlim	Excluded
YPL003W	quadratic	Nlim	Excluded
YPL009C	quadratic	Nlim	Excluded
YPL017C	quadratic	Nlim	Excluded
YPL018W	quadratic	Nlim	Excluded
YPL019C	quadratic	Nlim	Excluded
YPL033C	quadratic	Nlim	Excluded
YPL037C	quadratic	Nlim	Excluded
YPL038W	quadratic	Nlim	Excluded
YPL046C	quadratic	Nlim	Excluded
YPL052W	quadratic	Nlim	Excluded
YPL061W	quadratic	Nlim	Excluded
YPL062W	quadratic	Nlim	Excluded
YPL067C	quadratic	Nlim	Excluded
YPL068C	quadratic	Nlim	Excluded
YPL073C	quadratic	Nlim	Excluded
YPL079W	quadratic	Nlim	Excluded
YPL086C	quadratic	Nlim	Excluded
YPL112C	quadratic	Nlim	Excluded
YPL120W	quadratic	Nlim	Excluded
YPL133C	quadratic	Nlim	Excluded
YPL134C	quadratic	Nlim	Excluded
YPL140C	quadratic	Nlim	Excluded
YPL152W	quadratic	Nlim	Excluded
YPL163C	quadratic	Nlim	Excluded
YPL166W	quadratic	Nlim	Excluded
YPL174C	quadratic	Nlim	Excluded
YPL183C	quadratic	Nlim	Excluded
YPL208W	quadratic	Nlim	Excluded
YPL214C	quadratic	Nlim	Excluded
YPL220W	quadratic	Nlim	Excluded
YPL221W	quadratic	Nlim	Excluded
YPL224C	quadratic	Nlim	Excluded
YPL227C	quadratic	Nlim	Excluded
YPL232W	quadratic	Nlim	Excluded
YPL262W	quadratic	Nlim	Excluded
YPR004C	quadratic	Nlim	Excluded
YPR021C	quadratic	Nlim	Excluded
YPR028W	quadratic	Nlim	Excluded
YPR042C	quadratic	Nlim	Excluded
YPR050C	quadratic	Nlim	Excluded
YPR051W	quadratic	Nlim	Excluded
YPR052C	quadratic	Nlim	Excluded
YPR064W	quadratic	Nlim	Excluded
YPR070W	quadratic	Nlim	Excluded
YPR074C	quadratic	Nlim	Excluded
YPR083W	quadratic	Nlim	Excluded
YPR096C	quadratic	Nlim	Excluded
YPR098C	quadratic	Nlim	Excluded
YPR106W	quadratic	Nlim	Excluded
YPR138C	quadratic	Nlim	Excluded
YPR158W	quadratic	Nlim	Excluded
YPR167C	quadratic	Nlim	Excluded
YPR188C	quadratic	Nlim	Excluded
YPR194C	quadratic	Nlim	Excluded
YPR197C	quadratic	Nlim	Excluded
YPR198W	quadratic	Nlim	Excluded
YPR199C	quadratic	Nlim	Excluded
YAL010C	cubic	Nlim	Excluded
YAL058C.A	cubic	Nlim	Excluded
YBL013W	cubic	Nlim	Excluded
YBL016W	cubic	Nlim	Excluded
YBL024W	cubic	Nlim	Excluded
YBL037W	cubic	Nlim	Excluded
YBL047C	cubic	Nlim	Excluded
YBL070C	cubic	Nlim	Excluded
YBL078C	cubic	Nlim	Excluded
YBL106C	cubic	Nlim	Excluded
YBR006W	cubic	Nlim	Excluded
YBR019C	cubic	Nlim	Excluded
YBR033W	cubic	Nlim	Excluded
YBR048W	cubic	Nlim	Excluded
YBR051W	cubic	Nlim	Excluded
YBR053C	cubic	Nlim	Excluded
YBR067C	cubic	Nlim	Excluded
YBR068C	cubic	Nlim	Excluded
YBR071W	cubic	Nlim	Excluded
YBR073W	cubic	Nlim	Excluded
YBR076W	cubic	Nlim	Excluded
YBR108W	cubic	Nlim	Excluded
YBR111C	cubic	Nlim	Excluded
YBR128C	cubic	Nlim	Excluded
YBR132C	cubic	Nlim	Excluded
YBR149W	cubic	Nlim	Excluded
YBR161W	cubic	Nlim	Excluded
YBR164C	cubic	Nlim	Excluded
YBR180W	cubic	Nlim	Excluded
YBR181C	cubic	Nlim	Excluded
YBR194W	cubic	Nlim	Excluded
YBR201W	cubic	Nlim	Excluded
YBR206W	cubic	Nlim	Excluded
YBR215W	cubic	Nlim	Excluded
YBR222C	cubic	Nlim	Excluded
YBR225W	cubic	Nlim	Excluded
YBR244W	cubic	Nlim	Excluded
YBR264C	cubic	Nlim	Excluded
YBR275C	cubic	Nlim	Excluded
YBR285W	cubic	Nlim	Excluded
YBR299W	cubic	Nlim	Excluded
YBR300C	cubic	Nlim	Excluded
YCL009C	cubic	Nlim	Excluded
YCL010C	cubic	Nlim	Excluded
YCL013W	cubic	Nlim	Excluded
YCL016C	cubic	Nlim	Excluded
YCL027W	cubic	Nlim	Excluded
YCL039W	cubic	Nlim	Excluded
YCL040W	cubic	Nlim	Excluded
YCL047C	cubic	Nlim	Excluded
YCL048W	cubic	Nlim	Excluded
YCL055W	cubic	Nlim	Excluded
YCL056C	cubic	Nlim	Excluded
YCL060C	cubic	Nlim	Excluded
YCL075W	cubic	Nlim	Excluded
YCR008W	cubic	Nlim	Excluded
YCR011C	cubic	Nlim	Excluded
YCR017C	cubic	Nlim	Excluded
YCR020C	cubic	Nlim	Excluded
YCR020C.A	cubic	Nlim	Excluded
YCR037C	cubic	Nlim	Excluded
YCR060W	cubic	Nlim	Excluded
YCR073C	cubic	Nlim	Excluded
YCR075C	cubic	Nlim	Excluded
YCR087W	cubic	Nlim	Excluded
YCR088W	cubic	Nlim	Excluded
YDL002C	cubic	Nlim	Excluded
YDL020C	cubic	Nlim	Excluded
YDL023C	cubic	Nlim	Excluded
YDL026W	cubic	Nlim	Excluded
YDL033C	cubic	Nlim	Excluded
YDL037C	cubic	Nlim	Excluded
YDL050C	cubic	Nlim	Excluded
YDL052C	cubic	Nlim	Excluded
YDL053C	cubic	Nlim	Excluded
YDL059C	cubic	Nlim	Excluded
YDL078C	cubic	Nlim	Excluded
YDL081C	cubic	Nlim	Excluded
YDL091C	cubic	Nlim	Excluded
YDL096C	cubic	Nlim	Excluded
YDL099W	cubic	Nlim	Excluded
YDL100C	cubic	Nlim	Excluded
YDL119C	cubic	Nlim	Excluded
YDL121C	cubic	Nlim	Excluded
YDL128W	cubic	Nlim	Excluded
YDL133C.A	cubic	Nlim	Excluded
YDL134C	cubic	Nlim	Excluded
YDL134C.A	cubic	Nlim	Excluded
YDL136W	cubic	Nlim	Excluded
YDL137W	cubic	Nlim	Excluded
YDL138W	cubic	Nlim	Excluded
YDL173W	cubic	Nlim	Excluded
YDL174C	cubic	Nlim	Excluded
YDL182W	cubic	Nlim	Excluded
YDL186W	cubic	Nlim	Excluded
YDL197C	cubic	Nlim	Excluded
YDL201W	cubic	Nlim	Excluded
YDL204W	cubic	Nlim	Excluded
YDL210W	cubic	Nlim	Excluded
YDL216C	cubic	Nlim	Excluded
YDL231C	cubic	Nlim	Excluded
YDL233W	cubic	Nlim	Excluded
YDL237W	cubic	Nlim	Excluded
YDL242W	cubic	Nlim	Excluded
YDR018C	cubic	Nlim	Excluded
YDR020C	cubic	Nlim	Excluded
YDR022C	cubic	Nlim	Excluded
YDR026C	cubic	Nlim	Excluded
YDR034C	cubic	Nlim	Excluded
YDR036C	cubic	Nlim	Excluded
YDR048C	cubic	Nlim	Excluded
YDR049W	cubic	Nlim	Excluded
YDR063W	cubic	Nlim	Excluded
YDR066C	cubic	Nlim	Excluded
YDR068W	cubic	Nlim	Excluded
YDR075W	cubic	Nlim	Excluded
YDR076W	cubic	Nlim	Excluded
YDR077W	cubic	Nlim	Excluded
YDR084C	cubic	Nlim	Excluded
YDR095C	cubic	Nlim	Excluded
YDR105C	cubic	Nlim	Excluded
YDR108W	cubic	Nlim	Excluded
YDR121W	cubic	Nlim	Excluded
YDR128W	cubic	Nlim	Excluded
YDR130C	cubic	Nlim	Excluded
YDR131C	cubic	Nlim	Excluded
YDR133C	cubic	Nlim	Excluded
YDR139C	cubic	Nlim	Excluded
YDR161W	cubic	Nlim	Excluded
YDR183W	cubic	Nlim	Excluded
YDR192C	cubic	Nlim	Excluded
YDR198C	cubic	Nlim	Excluded
YDR202C	cubic	Nlim	Excluded
YDR241W	cubic	Nlim	Excluded
YDR252W	cubic	Nlim	Excluded
YDR255C	cubic	Nlim	Excluded
YDR262W	cubic	Nlim	Excluded
YDR266C	cubic	Nlim	Excluded
YDR272W	cubic	Nlim	Excluded
YDR273W	cubic	Nlim	Excluded
YDR279W	cubic	Nlim	Excluded
YDR287W	cubic	Nlim	Excluded
YDR307W	cubic	Nlim	Excluded
YDR310C	cubic	Nlim	Excluded
YDR312W	cubic	Nlim	Excluded
YDR314C	cubic	Nlim	Excluded
YDR318W	cubic	Nlim	Excluded
YDR320C	cubic	Nlim	Excluded
YDR329C	cubic	Nlim	Excluded
YDR340W	cubic	Nlim	Excluded
YDR348C	cubic	Nlim	Excluded
YDR351W	cubic	Nlim	Excluded
YDR358W	cubic	Nlim	Excluded
YDR368W	cubic	Nlim	Excluded
YDR374C	cubic	Nlim	Excluded
YDR375C	cubic	Nlim	Excluded
YDR379W	cubic	Nlim	Excluded
YDR384C	cubic	Nlim	Excluded
YDR387C	cubic	Nlim	Excluded
YDR389W	cubic	Nlim	Excluded
YDR400W	cubic	Nlim	Excluded
YDR411C	cubic	Nlim	Excluded
YDR415C	cubic	Nlim	Excluded
YDR419W	cubic	Nlim	Excluded
YDR426C	cubic	Nlim	Excluded
YDR438W	cubic	Nlim	Excluded
YDR463W	cubic	Nlim	Excluded
YDR465C	cubic	Nlim	Excluded
YDR467C	cubic	Nlim	Excluded
YDR469W	cubic	Nlim	Excluded
YDR471W	cubic	Nlim	Excluded
YDR474C	cubic	Nlim	Excluded
YDR476C	cubic	Nlim	Excluded
YDR483W	cubic	Nlim	Excluded
YDR485C	cubic	Nlim	Excluded
YDR493W	cubic	Nlim	Excluded
YDR494W	cubic	Nlim	Excluded
YDR502C	cubic	Nlim	Excluded
YDR503C	cubic	Nlim	Excluded
YDR522C	cubic	Nlim	Excluded
YEL001C	cubic	Nlim	Excluded
YEL005C	cubic	Nlim	Excluded
YEL015W	cubic	Nlim	Excluded
YEL030W	cubic	Nlim	Excluded
YEL047C	cubic	Nlim	Excluded
YEL056W	cubic	Nlim	Excluded
YEL057C	cubic	Nlim	Excluded
YEL059W	cubic	Nlim	Excluded
YER010C	cubic	Nlim	Excluded
YER024W	cubic	Nlim	Excluded
YER028C	cubic	Nlim	Excluded
YER031C	cubic	Nlim	Excluded
YER032W	cubic	Nlim	Excluded
YER039C.A	cubic	Nlim	Excluded
YER041W	cubic	Nlim	Excluded
YER081W	cubic	Nlim	Excluded
YER123W	cubic	Nlim	Excluded
YER174C	cubic	Nlim	Excluded
YER178W	cubic	Nlim	Excluded
YFL014W	cubic	Nlim	Excluded
YFL032W	cubic	Nlim	Excluded
YFL034C.A	cubic	Nlim	Excluded
YFL051C	cubic	Nlim	Excluded
YFL055W	cubic	Nlim	Excluded
YFR009W	cubic	Nlim	Excluded
YFR017C	cubic	Nlim	Excluded
YFR030W	cubic	Nlim	Excluded
YFR032C.A	cubic	Nlim	Excluded
YFR034C	cubic	Nlim	Excluded
YFR043C	cubic	Nlim	Excluded
YFR048W	cubic	Nlim	Excluded
YFR049W	cubic	Nlim	Excluded
YFR055W	cubic	Nlim	Excluded
YFR057W	cubic	Nlim	Excluded
YGL007W	cubic	Nlim	Excluded
YGL017W	cubic	Nlim	Excluded
YGL021W	cubic	Nlim	Excluded
YGL036W	cubic	Nlim	Excluded
YGL049C	cubic	Nlim	Excluded
YGL050W	cubic	Nlim	Excluded
YGL053W	cubic	Nlim	Excluded
YGL077C	cubic	Nlim	Excluded
YGL089C	cubic	Nlim	Excluded
YGL109W	cubic	Nlim	Excluded
YGL110C	cubic	Nlim	Excluded
YGL121C	cubic	Nlim	Excluded
YGL126W	cubic	Nlim	Excluded
YGL138C	cubic	Nlim	Excluded
YGL139W	cubic	Nlim	Excluded
YGL140C	cubic	Nlim	Excluded
YGL152C	cubic	Nlim	Excluded
YGL174W	cubic	Nlim	Excluded
YGL211W	cubic	Nlim	Excluded
YGL226W	cubic	Nlim	Excluded
YGL253W	cubic	Nlim	Excluded
YGL255W	cubic	Nlim	Excluded
YGL259W	cubic	Nlim	Excluded
YGL260W	cubic	Nlim	Excluded
YGL262W	cubic	Nlim	Excluded
YGR001C	cubic	Nlim	Excluded
YGR010W	cubic	Nlim	Excluded
YGR014W	cubic	Nlim	Excluded
YGR015C	cubic	Nlim	Excluded
YGR019W	cubic	Nlim	Excluded
YGR023W	cubic	Nlim	Excluded
YGR026W	cubic	Nlim	Excluded
YGR027C	cubic	Nlim	Excluded
YGR039W	cubic	Nlim	Excluded
YGR042W	cubic	Nlim	Excluded
YGR044C	cubic	Nlim	Excluded
YGR045C	cubic	Nlim	Excluded
YGR068C	cubic	Nlim	Excluded
YGR081C	cubic	Nlim	Excluded
YGR089W	cubic	Nlim	Excluded
YGR096W	cubic	Nlim	Excluded
YGR101W	cubic	Nlim	Excluded
YGR124W	cubic	Nlim	Excluded
YGR126W	cubic	Nlim	Excluded
YGR129W	cubic	Nlim	Excluded
YGR130C	cubic	Nlim	Excluded
YGR138C	cubic	Nlim	Excluded
YGR141W	cubic	Nlim	Excluded
YGR148C	cubic	Nlim	Excluded
YGR149W	cubic	Nlim	Excluded
YGR161C	cubic	Nlim	Excluded
YGR163W	cubic	Nlim	Excluded
YGR164W	cubic	Nlim	Excluded
YGR170W	cubic	Nlim	Excluded
YGR176W	cubic	Nlim	Excluded
YGR193C	cubic	Nlim	Excluded
YGR194C	cubic	Nlim	Excluded
YGR203W	cubic	Nlim	Excluded
YGR205W	cubic	Nlim	Excluded
YGR212W	cubic	Nlim	Excluded
YGR217W	cubic	Nlim	Excluded
YGR223C	cubic	Nlim	Excluded
YGR224W	cubic	Nlim	Excluded
YGR228W	cubic	Nlim	Excluded
YGR232W	cubic	Nlim	Excluded
YGR243W	cubic	Nlim	Excluded
YGR288W	cubic	Nlim	Excluded
YGR292W	cubic	Nlim	Excluded
YHL013C	cubic	Nlim	Excluded
YHL037C	cubic	Nlim	Excluded
YHL046C	cubic	Nlim	Excluded
YHR014W	cubic	Nlim	Excluded
YHR021C	cubic	Nlim	Excluded
YHR029C	cubic	Nlim	Excluded
YHR073W	cubic	Nlim	Excluded
YHR079C	cubic	Nlim	Excluded
YHR082C	cubic	Nlim	Excluded
YHR086W	cubic	Nlim	Excluded
YHR087W	cubic	Nlim	Excluded
YHR109W	cubic	Nlim	Excluded
YHR111W	cubic	Nlim	Excluded
YHR112C	cubic	Nlim	Excluded
YHR132C	cubic	Nlim	Excluded
YHR134W	cubic	Nlim	Excluded
YHR185C	cubic	Nlim	Excluded
YHR195W	cubic	Nlim	Excluded
YHR204W	cubic	Nlim	Excluded
YIL008W	cubic	Nlim	Excluded
YIL012W	cubic	Nlim	Excluded
YIL032C	cubic	Nlim	Excluded
YIL042C	cubic	Nlim	Excluded
YIL045W	cubic	Nlim	Excluded
YIL059C	cubic	Nlim	Excluded
YIL064W	cubic	Nlim	Excluded
YIL090W	cubic	Nlim	Excluded
YIL095W	cubic	Nlim	Excluded
YIL099W	cubic	Nlim	Excluded
YIL111W	cubic	Nlim	Excluded
YIL119C	cubic	Nlim	Excluded
YIL123W	cubic	Nlim	Excluded
YIL145C	cubic	Nlim	Excluded
YIL160C	cubic	Nlim	Excluded
YIL161W	cubic	Nlim	Excluded
YIL163C	cubic	Nlim	Excluded
YIL164C	cubic	Nlim	Excluded
YIL165C	cubic	Nlim	Excluded
YIL167W	cubic	Nlim	Excluded
YIR003W	cubic	Nlim	Excluded
YIR007W	cubic	Nlim	Excluded
YIR024C	cubic	Nlim	Excluded
YIR027C	cubic	Nlim	Excluded
YIR033W	cubic	Nlim	Excluded
YIR036C	cubic	Nlim	Excluded
YIR039C	cubic	Nlim	Excluded
YIR042C	cubic	Nlim	Excluded
YJL017W	cubic	Nlim	Excluded
YJL020C	cubic	Nlim	Excluded
YJL021C	cubic	Nlim	Excluded
YJL028W	cubic	Nlim	Excluded
YJL042W	cubic	Nlim	Excluded
YJL044C	cubic	Nlim	Excluded
YJL066C	cubic	Nlim	Excluded
YJL067W	cubic	Nlim	Excluded
YJL068C	cubic	Nlim	Excluded
YJL082W	cubic	Nlim	Excluded
YJL093C	cubic	Nlim	Excluded
YJL100W	cubic	Nlim	Excluded
YJL101C	cubic	Nlim	Excluded
YJL106W	cubic	Nlim	Excluded
YJL108C	cubic	Nlim	Excluded
YJL110C	cubic	Nlim	Excluded
YJL131C	cubic	Nlim	Excluded
YJL133W	cubic	Nlim	Excluded
YJL138C	cubic	Nlim	Excluded
YJL146W	cubic	Nlim	Excluded
YJL159W	cubic	Nlim	Excluded
YJL160C	cubic	Nlim	Excluded
YJL170C	cubic	Nlim	Excluded
YJL171C	cubic	Nlim	Excluded
YJL175W	cubic	Nlim	Excluded
YJL185C	cubic	Nlim	Excluded
YJL217W	cubic	Nlim	Excluded
YJR001W	cubic	Nlim	Excluded
YJR009C	cubic	Nlim	Excluded
YJR037W	cubic	Nlim	Excluded
YJR038C	cubic	Nlim	Excluded
YJR043C	cubic	Nlim	Excluded
YJR052W	cubic	Nlim	Excluded
YJR061W	cubic	Nlim	Excluded
YJR066W	cubic	Nlim	Excluded
YJR070C	cubic	Nlim	Excluded
YJR073C	cubic	Nlim	Excluded
YJR091C	cubic	Nlim	Excluded
YJR094W.A	cubic	Nlim	Excluded
YJR111C	cubic	Nlim	Excluded
YJR119C	cubic	Nlim	Excluded
YJR127C	cubic	Nlim	Excluded
YJR133W	cubic	Nlim	Excluded
YJR149W	cubic	Nlim	Excluded
YJR154W	cubic	Nlim	Excluded
YKL008C	cubic	Nlim	Excluded
YKL023W	cubic	Nlim	Excluded
YKL031W	cubic	Nlim	Excluded
YKL032C	cubic	Nlim	Excluded
YKL038W	cubic	Nlim	Excluded
YKL040C	cubic	Nlim	Excluded
YKL043W	cubic	Nlim	Excluded
YKL061W	cubic	Nlim	Excluded
YKL064W	cubic	Nlim	Excluded
YKL071W	cubic	Nlim	Excluded
YKL074C	cubic	Nlim	Excluded
YKL075C	cubic	Nlim	Excluded
YKL109W	cubic	Nlim	Excluded
YKL120W	cubic	Nlim	Excluded
YKL127W	cubic	Nlim	Excluded
YKL130C	cubic	Nlim	Excluded
YKL147C	cubic	Nlim	Excluded
YKL158W	cubic	Nlim	Excluded
YKL159C	cubic	Nlim	Excluded
YKL215C	cubic	Nlim	Excluded
YKL218C	cubic	Nlim	Excluded
YKR005C	cubic	Nlim	Excluded
YKR017C	cubic	Nlim	Excluded
YKR023W	cubic	Nlim	Excluded
YKR031C	cubic	Nlim	Excluded
YKR032W	cubic	Nlim	Excluded
YKR034W	cubic	Nlim	Excluded
YKR035W.A	cubic	Nlim	Excluded
YKR072C	cubic	Nlim	Excluded
YKR082W	cubic	Nlim	Excluded
YKR090W	cubic	Nlim	Excluded
YKR091W	cubic	Nlim	Excluded
YKR093W	cubic	Nlim	Excluded
YKR096W	cubic	Nlim	Excluded
YKR100C	cubic	Nlim	Excluded
YKR103W	cubic	Nlim	Excluded
YLL017W	cubic	Nlim	Excluded
YLL021W	cubic	Nlim	Excluded
YLL029W	cubic	Nlim	Excluded
YLL040C	cubic	Nlim	Excluded
YLL052C	cubic	Nlim	Excluded
YLL053C	cubic	Nlim	Excluded
YLL054C	cubic	Nlim	Excluded
YLL058W	cubic	Nlim	Excluded
YLL062C	cubic	Nlim	Excluded
YLR017W	cubic	Nlim	Excluded
YLR043C	cubic	Nlim	Excluded
YLR049C	cubic	Nlim	Excluded
YLR055C	cubic	Nlim	Excluded
YLR061W	cubic	Nlim	Excluded
YLR072W	cubic	Nlim	Excluded
YLR107W	cubic	Nlim	Excluded
YLR111W	cubic	Nlim	Excluded
YLR138W	cubic	Nlim	Excluded
YLR143W	cubic	Nlim	Excluded
YLR150W	cubic	Nlim	Excluded
YLR174W	cubic	Nlim	Excluded
YLR177W	cubic	Nlim	Excluded
YLR183C	cubic	Nlim	Excluded
YLR187W	cubic	Nlim	Excluded
YLR194C	cubic	Nlim	Excluded
YLR199C	cubic	Nlim	Excluded
YLR206W	cubic	Nlim	Excluded
YLR207W	cubic	Nlim	Excluded
YLR209C	cubic	Nlim	Excluded
YLR210W	cubic	Nlim	Excluded
YLR211C	cubic	Nlim	Excluded
YLR232W	cubic	Nlim	Excluded
YLR248W	cubic	Nlim	Excluded
YLR258W	cubic	Nlim	Excluded
YLR261C	cubic	Nlim	Excluded
YLR268W	cubic	Nlim	Excluded
YLR283W	cubic	Nlim	Excluded
YLR287C	cubic	Nlim	Excluded
YLR292C	cubic	Nlim	Excluded
YLR360W	cubic	Nlim	Excluded
YLR365W	cubic	Nlim	Excluded
YLR366W	cubic	Nlim	Excluded
YLR367W	cubic	Nlim	Excluded
YLR368W	cubic	Nlim	Excluded
YLR408C	cubic	Nlim	Excluded
YLR426W	cubic	Nlim	Excluded
YLR428C	cubic	Nlim	Excluded
YLR435W	cubic	Nlim	Excluded
YLR441C	cubic	Nlim	Excluded
YLR444C	cubic	Nlim	Excluded
YLR451W	cubic	Nlim	Excluded
YLR454W	cubic	Nlim	Excluded
YLR455W	cubic	Nlim	Excluded
YLR461W	cubic	Nlim	Excluded
YML028W	cubic	Nlim	Excluded
YML041C	cubic	Nlim	Excluded
YML081C.A	cubic	Nlim	Excluded
YML108W	cubic	Nlim	Excluded
YML111W	cubic	Nlim	Excluded
YML117W	cubic	Nlim	Excluded
YML118W	cubic	Nlim	Excluded
YML121W	cubic	Nlim	Excluded
YML123C	cubic	Nlim	Excluded
YML131W	cubic	Nlim	Excluded
YMR052C.A	cubic	Nlim	Excluded
YMR073C	cubic	Nlim	Excluded
YMR074C	cubic	Nlim	Excluded
YMR092C	cubic	Nlim	Excluded
YMR110C	cubic	Nlim	Excluded
YMR120C	cubic	Nlim	Excluded
YMR121C	cubic	Nlim	Excluded
YMR130W	cubic	Nlim	Excluded
YMR135W.A	cubic	Nlim	Excluded
YMR145C	cubic	Nlim	Excluded
YMR147W	cubic	Nlim	Excluded
YMR156C	cubic	Nlim	Excluded
YMR157C	cubic	Nlim	Excluded
YMR167W	cubic	Nlim	Excluded
YMR175W	cubic	Nlim	Excluded
YMR176W	cubic	Nlim	Excluded
YMR191W	cubic	Nlim	Excluded
YMR192W	cubic	Nlim	Excluded
YMR196W	cubic	Nlim	Excluded
YMR219W	cubic	Nlim	Excluded
YMR230W	cubic	Nlim	Excluded
YMR232W	cubic	Nlim	Excluded
YMR233W	cubic	Nlim	Excluded
YMR237W	cubic	Nlim	Excluded
YMR244C.A	cubic	Nlim	Excluded
YMR244W	cubic	Nlim	Excluded
YMR254C	cubic	Nlim	Excluded
YMR273C	cubic	Nlim	Excluded
YMR282C	cubic	Nlim	Excluded
YMR284W	cubic	Nlim	Excluded
YMR291W	cubic	Nlim	Excluded
YMR292W	cubic	Nlim	Excluded
YMR306C.A	cubic	Nlim	Excluded
YMR315W	cubic	Nlim	Excluded
YMR319C	cubic	Nlim	Excluded
YMR322C	cubic	Nlim	Excluded
YNL013C	cubic	Nlim	Excluded
YNL016W	cubic	Nlim	Excluded
YNL021W	cubic	Nlim	Excluded
YNL023C	cubic	Nlim	Excluded
YNL024C	cubic	Nlim	Excluded
YNL027W	cubic	Nlim	Excluded
YNL040W	cubic	Nlim	Excluded
YNL041C	cubic	Nlim	Excluded
YNL049C	cubic	Nlim	Excluded
YNL052W	cubic	Nlim	Excluded
YNL056W	cubic	Nlim	Excluded
YNL064C	cubic	Nlim	Excluded
YNL067W	cubic	Nlim	Excluded
YNL077W	cubic	Nlim	Excluded
YNL082W	cubic	Nlim	Excluded
YNL089C	cubic	Nlim	Excluded
YNL090W	cubic	Nlim	Excluded
YNL093W	cubic	Nlim	Excluded
YNL095C	cubic	Nlim	Excluded
YNL099C	cubic	Nlim	Excluded
YNL104C	cubic	Nlim	Excluded
YNL121C	cubic	Nlim	Excluded
YNL122C	cubic	Nlim	Excluded
YNL130C	cubic	Nlim	Excluded
YNL142W	cubic	Nlim	Excluded
YNL144C	cubic	Nlim	Excluded
YNL173C	cubic	Nlim	Excluded
YNL175C	cubic	Nlim	Excluded
YNL176C	cubic	Nlim	Excluded
