row_number,reads_t0,reads_t1,reads_t2,reads_t3,reads_t4,reads_t5,reads_t6,reads_t7,freq_t0,freq_t1,freq_t2,freq_t3,freq_t4,freq_t5,freq_t6,freq_t7,freq_mean,freq_std,freq_cv,zero_t0,zero_t1,zero_t2,zero_t3,zero_t4,zero_t5,zero_t6,zero_t7,zero_count
3104,13.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.190438399396113e-06,1.629253573767714e-07,0.0,1.8733692320834715e-07,3.202451284311063e-07,0.0,0.0,0.0,3.576182260515423e-07,7.501514850703122e-07,2.097045748410442,0,0,1,0,0,1,1,1,4
2364,63.0,26.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0615201473996548e-05,4.236059291796057e-06,0.0,1.8733692320834715e-07,0.0,0.0,1.5122036345511916e-07,0.0,1.898727256557009e-06,3.814321542741079e-06,2.0087775386462914,0,0,1,0,1,1,0,1,4
3222,43.0,8.0,0.0,4.0,0.0,0.0,1.0,0.0,7.2452962441563735e-06,1.3034028590141713e-06,0.0,7.493476928333886e-07,0.0,0.0,1.5122036345511916e-07,0.0,1.1811583949323818e-06,2.4961823711476197e-06,2.1131552434727947,0,0,1,0,1,1,0,1,4
76,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.684952614920087e-07,3.258507147535428e-07,0.0,0.0,1.6012256421555315e-07,0.0,0.0,2.5275697833582023e-07,1.134031898496156e-07,1.3159048998124537e-07,1.1593549939485779,0,0,1,1,0,1,1,0,4
3855,0.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,1.8053154987418755e-07,0.0,3.202451284311063e-07,3.8222194022736856e-07,4.536610903653575e-07,0.0,1.6708246361225249e-07,1.940979804533833e-07,1.16099485711346,1,1,0,1,0,0,0,1,4
1287,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,3.369905229840174e-07,8.14626786883857e-07,1.8053154987418755e-07,1.8733692320834715e-07,0.0,0.0,0.0,0.0,1.8993572286880112e-07,2.818970296335051e-07,1.4833896773614725,0,0,0,0,1,1,1,1,4
1199,25.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,4.212381537300217e-06,3.258507147535428e-07,0.0,1.8733692320834715e-07,1.6012256421555315e-07,0.0,0.0,0.0,6.107114674347076e-07,1.460299543186321e-06,2.390753319218616,0,0,1,0,0,1,1,1,4
1564,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.629253573767714e-07,0.0,1.8733692320834715e-07,0.0,1.9111097011368428e-07,3.024407269102383e-07,0.0,1.0547674720113014e-07,1.1989926573363682e-07,1.1356597822172094,1,0,1,0,1,0,0,1,4
670,4.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,6.739810459680348e-07,0.0,0.0,1.8733692320834715e-07,0.0,1.9111097011368428e-07,3.024407269102383e-07,0.0,1.6935870827503806e-07,2.3539644152074528e-07,1.389107965692077,0,1,1,0,1,0,0,1,4
413,15.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.5274289223801304e-06,1.629253573767714e-07,3.610630997483751e-07,0.0,0.0,0.0,0.0,1.2637848916791012e-07,3.972244835841484e-07,8.700148924353174e-07,2.189683566910266,0,0,0,1,1,1,1,0,4
581,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0109715689520523e-06,1.629253573767714e-07,1.8053154987418755e-07,0.0,1.6012256421555315e-07,0.0,0.0,0.0,1.8931888005232055e-07,3.4228349875140965e-07,1.8070189130928522,0,0,0,1,0,1,1,1,4
1384,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.629253573767714e-07,0.0,0.0,1.6012256421555315e-07,0.0,3.024407269102383e-07,2.5275697833582023e-07,1.0978070335479789e-07,1.2599658068272399e-07,1.1466670383050694,1,0,1,1,0,1,0,0,4
2495,9.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.5164573534280782e-06,1.629253573767714e-07,0.0,3.746738464166943e-07,0.0,0.0,1.5122036345511916e-07,0.0,2.7565961508458286e-07,5.184495951868658e-07,1.8800780347326909,0,0,1,0,1,1,0,1,4
1401,33.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,5.560343629236287e-06,6.517014295070856e-07,0.0,5.620107696250414e-07,0.0,0.0,1.5122036345511916e-07,0.0,8.656595239779416e-07,1.9155725902745647e-06,2.21259199260437,0,0,1,0,1,1,0,1,4
613,18.0,5.0,0.0,6.0,0.0,0.0,1.0,0.0,3.0329147068561563e-06,8.14626786883857e-07,0.0,1.1240215392500827e-06,0.0,0.0,1.5122036345511916e-07,0.0,6.403479245556518e-07,1.0601965265346433e-06,1.6553984889094873,0,0,1,0,1,1,0,1,4
3069,69.0,18.0,0.0,0.0,0.0,0.0,1.0,2.0,1.1626173042948599e-05,2.9326564327818853e-06,0.0,0.0,0.0,0.0,1.5122036345511916e-07,2.5275697833582023e-07,1.870350852190178e-06,4.0685102324953296e-06,2.175149498171184,0,0,1,1,1,1,0,0,4
227,8.0,34.0,0.0,2.0,0.0,0.0,0.0,1.0,1.3479620919360695e-06,5.539462150810228e-06,0.0,3.746738464166943e-07,0.0,0.0,0.0,1.2637848916791012e-07,9.235595722913627e-07,1.92113420616575e-06,2.0799158735505854,0,0,1,0,1,1,1,0,4
2760,22.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,3.7068957528241913e-06,3.258507147535428e-07,0.0,1.8733692320834715e-07,0.0,0.0,1.5122036345511916e-07,0.0,5.4641296928015e-07,1.2826691182146975e-06,2.3470058174542308,0,0,1,0,1,1,0,1,4
812,86.0,10.0,0.0,0.0,2.0,1.0,0.0,0.0,1.4490592488312747e-05,1.629253573767714e-06,0.0,0.0,3.202451284311063e-07,1.9111097011368428e-07,0.0,0.0,2.0789002700781566e-06,5.0454535057630145e-06,2.4268652478690345,0,0,1,1,0,0,1,1,4
2750,37.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,6.234324675204322e-06,9.775521442606284e-07,3.610630997483751e-07,1.8733692320834715e-07,0.0,0.0,0.0,0.0,9.700346053027091e-07,2.153407165783326e-06,2.219699363379995,0,0,0,0,1,1,1,1,4
573,19.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,3.201409968348165e-06,4.887760721303142e-07,5.415946496225626e-07,7.493476928333886e-07,0.0,0.0,0.0,0.0,6.226410478668038e-07,1.0850490158428836e-06,1.7423759354866897,0,0,0,0,1,1,1,1,4
3332,95.0,14.0,3.0,3.0,0.0,0.0,0.0,0.0,1.6007049841740826e-05,2.2809550032747997e-06,5.415946496225626e-07,5.620107696250414e-07,0.0,0.0,0.0,0.0,2.423951283032904e-06,5.542475757437526e-06,2.286451526926006,0,0,0,0,1,1,1,1,4
455,112.0,22.0,4.0,1.0,0.0,0.0,0.0,0.0,1.8871469287104974e-05,3.584357862288971e-06,7.221261994967502e-07,1.8733692320834715e-07,0.0,0.0,0.0,0.0,2.9206612840123802e-06,6.560644970715968e-06,2.2462106049636885,0,0,0,0,1,1,1,1,4
456,11.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.8534478764120957e-06,3.258507147535428e-07,1.8053154987418755e-07,0.0,0.0,0.0,0.0,2.5275697833582023e-07,3.265733899219557e-07,6.307279261114993e-07,1.9307600360781882,0,0,0,1,1,1,1,0,4
460,7.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.1794668304440609e-06,1.629253573767714e-07,0.0,0.0,0.0,1.9111097011368428e-07,0.0,1.2637848916791012e-07,2.0748520588780333e-07,4.010309422187185e-07,1.931885947765804,0,0,1,1,1,0,1,0,4
1915,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.684952614920087e-07,0.0,1.8053154987418755e-07,3.746738464166943e-07,0.0,0.0,1.5122036345511916e-07,0.0,1.0936512765475121e-07,1.3551201000116736e-07,1.23794685032997,0,1,0,0,1,1,0,1,4
3887,30.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,5.054857844760261e-06,1.3034028590141713e-06,0.0,0.0,0.0,1.9111097011368428e-07,0.0,1.2637848916791012e-07,8.344687703820033e-07,1.761989003496576e-06,2.111256814330674,0,0,1,1,1,0,1,0,4
2790,26.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,4.380876798792226e-06,9.775521442606284e-07,7.221261994967502e-07,5.620107696250414e-07,0.0,0.0,0.0,0.0,8.303207390218308e-07,1.4865853412108404e-06,1.790159218520866,0,0,0,0,1,1,1,1,4
