row_number,reads_t1,reads_t2,freq_t1,freq_t2,freq_ratio,ln_freq_ratio,abs_ln_freq_ratio
2083,26.0,0.0,5.341663040499256e-06,0.0,1.8720411078109842e-05,-10.88589612785519,10.88589612785519
2341,17.0,0.0,3.4926258341725907e-06,0.0,2.8630933187370977e-05,-10.461022844646678,10.461022844646678
1116,16.0,0.0,3.28717725569185e-06,0.0,3.0420312076461502e-05,-10.400400012261965,10.400400012261965
2524,12.0,0.0,2.465382941768888e-06,0.0,4.0560004819280525e-05,-10.1127280798628,10.1127280798628
1785,11.0,0.0,2.259934363288147e-06,0.0,4.4247114833470496e-05,-10.025720390139538,10.025720390139538
1,7.0,0.0,1.4381400493651844e-06,0.0,6.952942246611639e-05,-9.573760550142463,9.573760550142463
2683,7.0,0.0,1.4381400493651844e-06,0.0,6.952942246611639e-05,-9.573760550142463,9.573760550142463
3702,7.0,0.0,1.4381400493651844e-06,0.0,6.952942246611639e-05,-9.573760550142463,9.573760550142463
615,7.0,0.0,1.4381400493651844e-06,0.0,6.952942246611639e-05,-9.573760550142463,9.573760550142463
1311,7.0,0.0,1.4381400493651844e-06,0.0,6.952942246611639e-05,-9.573760550142463,9.573760550142463
275,6.0,0.0,1.232691470884444e-06,0.0,8.111671954402541e-05,-9.419621458485139,9.419621458485139
2578,6.0,0.0,1.232691470884444e-06,0.0,8.111671954402541e-05,-9.419621458485139,9.419621458485139
3387,6.0,0.0,1.232691470884444e-06,0.0,8.111671954402541e-05,-9.419621458485139,9.419621458485139
1485,5.0,0.0,1.0272428924037031e-06,0.0,9.733848429712418e-05,-9.237316124903497,9.237316124903497
2859,5.0,0.0,1.0272428924037031e-06,0.0,9.733848429712418e-05,-9.237316124903497,9.237316124903497
2031,5.0,0.0,1.0272428924037031e-06,0.0,9.733848429712418e-05,-9.237316124903497,9.237316124903497
3019,4.0,0.0,8.217943139229625e-07,0.0,0.00012167014457454097,-9.014196907914279,9.014196907914279
260,4.0,0.0,8.217943139229625e-07,0.0,0.00012167014457454097,-9.014196907914279,9.014196907914279
1892,3.0,0.0,6.16345735442222e-07,0.0,0.00016222028031106847,-8.726555391354955,8.726555391354955
1549,3.0,0.0,6.16345735442222e-07,0.0,0.00016222028031106847,-8.726555391354955,8.726555391354955
2056,3.0,0.0,6.16345735442222e-07,0.0,0.00016222028031106847,-8.726555391354955,8.726555391354955
456,3.0,0.0,6.16345735442222e-07,0.0,0.00016222028031106847,-8.726555391354955,8.726555391354955
3425,2.0,0.0,4.1089715696148125e-07,0.0,0.00024331068550280028,-8.321171390097696,8.321171390097696
