31,7,1,0,1,0,0,0
57,10,6,0,1,0,3,1
103,25,15,7,9,3,4,2
0,0,0,0,0,0,0,0
2,2,0,0,0,1,0,0
47,17,8,3,0,0,0,8
0,1,1,0,0,3,4,3
588,101,38,51,22,21,16,16
869,1720,2493,2805,3007,3788,4589,1130
197,64,31,29,16,13,6,9
0,0,0,0,0,0,0,0
81,26,2,3,0,0,2,0
315,114,14,11,6,1,8,4
46,3,2,1,1,1,2,0
670,292,80,33,26,8,14,28
45,7,8,3,0,4,4,1
1026,739,285,156,95,11,17,13
644,590,223,117,58,18,10,8
638,591,473,377,331,180,121,14
562,611,571,663,557,376,295,104
536,546,281,164,81,17,13,10
380,91,26,16,20,13,8,5
247,173,36,19,13,3,4,1
237,30,11,12,9,10,10,6
55,12,0,2,0,0,0,0
350,93,18,14,5,6,9,4
336,224,38,24,9,1,1,3
91,40,7,1,4,0,1,4
174,58,2,5,1,0,0,0
574,235,71,56,24,24,17,18
114,28,3,10,2,1,1,1
52,11,4,28,13,16,11,21
672,1115,1337,1180,1036,667,464,49
488,53,33,32,15,11,16,19
2144,2906,2698,2411,2616,1471,1330,282
528,579,562,431,331,201,143,9
110,21,10,4,4,2,6,1
1546,2899,3062,2594,2354,1611,1062,219
1473,3090,3122,2966,2723,1808,1351,231
430,429,201,144,104,21,9,1
969,276,50,63,20,23,29,26
283,104,10,8,6,6,3,7
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
413,403,243,154,93,51,30,13
3928,7572,10175,9322,11714,9868,10641,3577
34,4,0,0,1,0,0,0
1338,2053,2099,1864,1575,1221,1009,1368
522,283,117,77,21,15,14,12
845,915,494,471,326,122,76,14
690,1072,1079,931,796,534,376,95
877,1399,1102,1226,1020,624,469,120
203,70,14,10,4,3,2,6
887,1399,1456,1267,986,792,551,154
412,413,188,94,38,19,28,10
605,548,290,206,113,31,19,4
1747,3240,3593,3229,2752,1948,1361,291
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
475,175,16,17,4,8,6,9
487,146,33,34,17,6,12,11
683,468,266,187,190,37,19,8
1294,1410,1197,1019,1391,508,724,266
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
108,44,3,3,1,1,3,1
0,1,2,0,1,4,1,1
495,665,688,693,598,536,405,63
1552,3003,3102,2857,2419,1622,1275,221
0,0,0,0,0,0,0,0
217,138,92,98,81,162,55,64
886,84,51,68,41,39,55,50
164,32,4,7,2,1,7,2
0,0,0,0,0,0,0,0
757,546,319,228,222,47,279,40
1,2,0,0,1,0,0,2
1209,747,197,161,82,18,155,17
0,0,0,0,0,0,0,0
451,200,64,67,41,21,20,19
296,82,42,40,38,22,251,27
356,99,31,20,16,6,30,7
557,221,77,78,38,9,11,9
498,223,104,88,94,14,18,6
710,1302,1650,1844,1887,2573,3451,1371
295,84,13,25,12,7,12,6
0,0,0,0,0,0,0,0
212,48,12,9,4,5,4,6
38,19,3,1,0,0,1,10
1275,2446,2845,2641,2498,2070,1560,336
1970,2180,979,756,507,206,106,32
1640,3110,3382,3191,2677,2194,1908,352
386,131,17,24,10,8,13,7
508,216,56,41,17,13,7,7
0,0,0,0,0,0,0,0
461,396,194,98,80,19,13,14
146,44,11,9,5,2,1,1
161,55,10,12,6,5,4,6
0,0,0,0,0,0,0,0
784,1270,1309,1245,1060,667,528,93
227,71,5,8,5,5,7,1
527,131,16,13,9,9,11,14
0,0,0,0,0,0,0,0
342,145,16,25,19,6,10,17
310,120,14,16,10,16,8,12
1241,2408,4103,4424,4861,4850,4719,1474
101,9,5,11,6,1,5,9
2926,4760,5586,5254,6216,4180,4265,937
2860,4087,4242,4142,4846,2764,2698,732
854,196,33,30,12,4,17,12
0,0,0,0,0,0,0,0
11,2,1,1,0,1,1,0
0,0,0,0,0,0,0,0
970,738,435,292,244,85,54,20
226,31,6,16,7,4,10,9
441,383,324,188,185,85,125,45
98,12,1,3,2,2,3,2
287,37,8,6,1,2,4,1
1328,2486,2953,2402,2344,1791,1230,365
1201,1809,2514,2409,2578,2468,3032,552
132,122,58,34,22,11,10,3
0,0,0,0,0,0,0,0
98,29,24,19,16,8,6,5
0,0,0,0,0,0,0,0
2607,3723,4300,3663,4399,2843,2627,918
0,0,0,0,0,0,0,0
382,360,175,100,73,18,8,2
2099,2867,3107,2729,2383,1727,1302,280
804,1385,1218,1048,797,505,323,216
23,15,2,1,0,0,2,2
39,5,0,3,3,1,1,0
3888,5016,3606,4425,4197,2311,2133,642
745,228,46,31,14,11,19,19
2737,3532,3396,3009,3305,1962,3196,22739
0,0,0,0,0,0,0,0
690,848,822,719,1107,719,1076,381
542,243,109,92,48,28,53,24
1896,2694,2729,2418,2589,1530,1238,339
350,409,334,398,287,162,122,11
492,599,427,556,619,877,410,54
8,1,0,0,0,0,0,0
547,146,48,21,9,8,12,22
622,257,36,41,22,9,12,26
488,303,156,73,44,10,7,5
1206,901,430,329,255,68,58,14
715,353,119,97,69,18,24,15
827,102,34,27,24,15,29,16
2662,4164,4166,3514,3677,2304,2167,585
0,0,0,0,0,0,0,0
1226,1363,1225,928,1359,692,790,140
173,19,3,6,3,3,0,7
992,329,86,73,52,12,13,14
314,92,20,25,6,5,9,6
371,105,9,10,7,7,6,5
811,246,66,60,39,13,25,29
1626,2986,3575,3415,3288,3417,3687,736
577,326,165,102,71,16,15,5
0,0,0,0,0,0,0,0
1649,1850,1369,1130,1353,587,608,137
2589,3872,3097,2968,3183,1702,1779,460
24,9,6,12,7,5,11,7
1140,846,226,173,101,57,96,57
0,0,0,0,0,0,0,0
1389,1822,1740,1538,2058,1054,945,276
224,95,21,19,15,3,19,7
448,75,11,5,8,7,12,9
311,79,17,19,5,6,5,8
728,360,94,60,25,11,17,8
432,105,13,21,11,5,12,13
459,332,70,123,66,18,24,22
0,0,0,0,0,0,0,0
1769,2480,1796,1518,1388,546,364,27
98,16,8,10,9,5,5,5
594,931,1584,2083,2157,2799,3922,3048
259,60,12,10,7,3,6,5
1283,2460,2830,2350,2217,1724,1359,191
2076,2802,3500,3077,3614,2663,2503,613
1222,2146,2565,2358,2204,1726,1200,189
556,275,102,62,36,11,16,11
724,364,195,121,94,31,29,15
621,156,29,23,10,10,10,9
926,224,36,45,28,14,19,17
1064,178,34,60,31,33,54,46
3866,5539,5722,4894,5313,3484,3673,1182
2063,2631,2898,2241,2685,1602,1625,284
1297,2351,2658,2255,1947,1318,966,265
1165,2014,1677,2110,1807,1268,1033,430
916,363,73,66,36,11,19,24
65,14,7,9,5,5,9,4
223,70,5,6,10,0,0,0
621,442,108,64,32,6,1,4
3860,5626,5551,4917,4734,2983,2599,473
956,806,550,581,558,287,283,45
274,110,41,24,14,7,10,9
1194,2153,2219,2060,1679,1134,811,178
1668,1724,921,646,524,141,79,31
753,573,269,171,106,18,15,17
2870,4378,2903,3531,3973,1630,1965,613
2073,2698,3793,4028,5092,3783,4148,24774
492,144,11,11,7,2,2,4
0,0,0,0,0,0,0,0
2669,2797,1984,1725,1649,684,662,154
2205,1960,1563,1262,1242,537,407,919
1057,264,28,30,12,6,19,18
1953,2015,1496,1202,1007,371,298,37
330,227,103,89,81,46,23,14
1788,2419,2075,1847,1666,876,597,152
429,182,37,30,14,4,7,9
737,257,32,29,13,7,9,12
619,260,116,87,69,31,16,22
2064,3079,2338,2610,3292,2001,2331,945
12,0,0,0,1,1,0,0
977,529,186,132,100,31,51,27
46,7,0,2,2,0,1,1
