112,37
110,108
232,166
821,779
0,3
31,32
783,740
1149,1129
405,384
398,361
624,620
338,281
841,760
51,25
1619,1573
266,208
1344,1426
6615,7470
1007,867
751,606
854,954
819,835
243,211
1471,1509
77,25
914,944
94,89
434,422
318,216
1812,1605
879,726
6428,7336
190,189
1134,1174
681,549
300,231
1501,1653
698,677
429,371
545,475
3111,3387
765,610
865,816
534,480
1515,1600
335,318
8,1
394,338
3089,3500
951,885
1386,1366
579,440
1030,1011
408,369
3612,4146
591,559
374,267
58,17
825,777
710,524
2794,2974
336,360
439,449
980,355
2769,3197
52,31
418,252
955,801
911,737
1953,2191
889,711
3358,3617
362,387
39,49
527,342
897,4062
1673,1486
56,41
2606,2618
733,668
667,766
1770,1719
218,177
782,706
775,592
4262,5480
281,203
32,0
427,445
315,197
392,304
2760,2772
1029,942
329,253
990,645
1304,1354
748,784
532,430
718,582
609,652
1200,1317
4312,4462
6874,8060
306,73
359,252
1468,1577
1033,944
843,680
1495,1492
487,488
158,199
1211,1207
500,490
775,689
244,196
11,0
28,19
497,428
87,68
194,118
2586,2726
110,102
427,346
1328,1271
373,399
436,383
6392,6646
279,243
28,29
5953,5539
1130,901
1802,1684
1199,1129
1157,969
58,85
2193,2474
1243,1289
5,0
117,63
1032,835
2733,2441
2812,2632
638,530
1003,1032
1196,1453
2171,2205
652,512
1102,970
165,178
622,495
1562,1461
741,781
290,329
3501,3723
1298,1225
880,597
182,134
144,169
543,429
2193,2345
9265,9363
1428,1480
429,396
806,678
1513,1610
635,504
1660,1599
1992,1775
647,444
1064,822
606,364
617,534
684,519
596,546
507,423
1825,1916
754,676
2558,2500
860,1015
1208,1206
2218,1676
2352,2801
2352,2371
524,403
444,422
335,225
2451,2490
4630,4792
155,115
134,79
964,778
1446,1453
818,701
443,406
1295,1238
558,504
452,360
847,873
10,4
966,972
789,578
1477,1268
341,245
796,743
138,148
235,182
503,494
1609,1494
1489,1320
487,401
73,99
1116,1021
62,13
2653,2757
7,5
704,689
1330,1293
313,338
704,587
685,572
1242,1210
9674,11478
862,522
10256,11467
293,273
954,700
921,824
238,185
1257,1108
2315,2090
2324,2538
732,585
260,232
1312,1284
