Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3,Estimated_Read_Number_t4
-0.03478439292535108,-69.96983876523043,,269,143,19,57,1
-0.0032758558586386136,-42.786747203584824,,286,325,46,345,179
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
0.01187554312550151,-124.46665633592366,,468,765,144,1213,1095
-0.01786549334839006,-31.1203418836483,,372,298,31,108,24
0.00817128591077989,-62.258001300953964,,823,1231,100,244,270
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
0.0011360927626190625,-63.689324979465475,,481,608,31,55,48
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.0012131074254968944,-89.64641476083676,,1737,2075,135,518,358
0.06335975455518529,-1821.6880535873195,,495,2785,199,7,723
