85,34,17,0,22,24,27,19,30,14
286,140,104,0,80,95,44,29,22,17
787,370,277,0,147,160,94,64,46,28
1059,746,685,0,580,1007,713,608,587,680
46,13,9,0,0,0,1,0,1,0
121,26,34,0,19,20,10,13,4,4
1630,996,815,0,648,868,730,481,594,605
1173,884,926,0,950,1522,1208,987,1065,1062
627,397,412,0,403,640,481,424,437,400
806,503,370,0,313,467,364,253,241,187
959,632,553,0,477,689,559,462,460,405
365,256,205,0,146,185,127,62,74,61
925,705,721,0,688,1001,858,618,561,556
470,243,166,0,68,94,61,27,20,23
1449,1182,946,500,851,1036,828,314,643,528
621,302,232,0,115,130,77,34,22,23
1985,1388,1429,0,1467,2511,1988,1881,2257,2395
2066,2160,3042,0,4346,8331,8017,7802,9967,11511
1429,998,994,0,964,1607,1271,1030,1138,1017
1103,684,614,0,493,654,579,387,471,414
1237,905,851,0,839,1519,1173,1014,1234,1400
986,663,703,0,647,1044,819,724,826,807
340,218,231,0,226,335,271,233,258,241
1107,828,930,0,804,1376,1114,951,989,968
35,17,16,0,15,23,35,27,71,13
1188,966,992,0,989,1707,1406,1301,1359,1399
419,269,224,0,163,231,147,79,66,56
512,316,282,0,232,281,185,161,163,165
128,251,319,0,256,388,406,336,633,425
1775,1457,1673,0,1952,3512,3011,2748,3162,3093
1051,837,936,0,899,1534,1173,856,795,698
2410,2888,2685,1564,3538,5682,5019,2627,6127,6459
403,236,189,0,126,191,121,88,96,68
1445,897,938,0,808,1414,1210,1130,1253,1350
1451,968,674,250,441,578,358,127,265,211
644,398,383,0,218,342,198,133,98,108
508,533,765,0,1004,1935,1832,1743,1984,1678
1158,744,646,0,566,957,720,540,673,617
927,454,403,0,264,264,203,155,145,124
1032,791,819,0,712,1104,813,640,681,623
2567,2987,2645,1578,3296,5259,4884,2278,5919,6321
915,587,504,0,397,662,493,328,401,346
1295,861,913,0,708,1069,966,773,871,878
673,427,390,0,488,822,576,486,502,497
1087,938,910,0,1207,2181,1837,1688,1718,1842
1343,883,440,187,251,250,115,42,56,48
33,12,7,0,6,5,2,4,0,0
827,552,440,0,361,519,373,290,261,201
1221,1003,1134,0,1140,1761,1514,1217,1406,1281
1408,1076,1101,0,1081,1713,1357,1172,1260,1214
1265,1065,1139,0,1331,2416,1847,1601,1871,1706
878,581,479,0,395,623,502,388,343,338
890,713,721,0,921,1538,1254,976,1144,1087
895,415,358,0,224,289,210,124,143,71
1251,1132,1451,0,1833,3272,2976,2828,3323,3867
917,687,688,0,595,954,725,593,483,433
1026,494,381,0,187,221,129,65,68,70
88,18,12,0,11,16,28,10,68,9
1256,797,735,0,567,694,498,441,356,332
1357,857,733,0,575,851,591,459,393,328
1956,1597,1767,0,2136,3883,3346,2860,3275,3304
450,661,364,335,354,489,334,0,367,338
293,712,319,390,317,363,274,0,393,316
236,1172,291,347,772,258,420,0,830,658
1511,1677,1514,1030,2340,4184,3988,2278,5633,6176
160,77,91,0,49,61,39,21,13,11
660,771,332,68,306,203,175,83,98,86
1351,1079,789,385,643,867,684,304,616,598
1030,977,672,35,646,993,751,594,668,516
2497,2157,1506,926,1628,2637,2216,936,2438,2142
1410,1411,944,94,921,1288,1035,774,934,981
4254,3736,2905,1671,2985,4343,3557,1527,3598,3036
272,344,203,244,213,275,256,1,203,168
169,137,50,41,19,30,10,0,13,12
1138,801,406,176,302,324,244,70,139,105
331,1007,1366,7,2728,4080,2232,0,6912,10944
1412,1548,1294,632,1401,1738,1742,862,1957,1923
292,147,75,0,50,49,25,20,28,13
1682,1417,1723,8,2150,4049,3287,3089,3821,3930
992,674,469,316,446,624,527,185,553,338
1444,1008,734,432,765,1152,1074,475,1188,1149
2744,2764,2227,1256,2303,3139,2503,1044,2110,1762
582,615,342,354,272,331,239,0,141,83
1239,994,649,347,620,915,660,279,567,628
972,932,478,180,446,376,303,105,199,135
960,1725,1387,1953,2442,3783,3863,0,6050,6526
692,420,325,0,264,413,269,244,239,197
12,223,5,5,23,2,1,0,3,3
1119,650,549,2,432,776,625,644,695,784
1533,1078,558,140,364,320,273,103,216,124
773,334,194,0,92,83,49,44,25,18
1527,1541,2065,0,2473,4808,4369,4144,4748,5260
1638,1268,1025,413,873,1235,909,442,775,695
700,392,316,0,203,273,235,156,186,123
1032,1094,528,56,544,606,529,399,447,422
1059,877,604,361,642,846,564,241,400,354
1214,967,687,202,547,734,484,237,425,422
