75,8,0,9,2
237,110,0,68,49
440,261,0,91,69
0,0,0,0,0
96,18,0,1,1
40,18,0,11,0
0,0,0,1,0
956,818,0,925,576
263,363,0,229,69
552,334,0,312,193
0,0,0,0,0
172,146,0,134,40
84,214,0,84,7
146,157,0,18,2
566,714,94,391,67
375,303,0,152,50
795,729,0,956,327
120,246,0,422,54
415,397,0,236,33
153,104,0,94,11
610,591,0,706,408
601,316,0,509,224
302,200,0,145,46
569,373,0,580,253
8,3,0,3,4
243,399,0,164,24
264,157,0,102,48
220,233,0,100,22
1,14,0,4,3
839,1216,0,1674,1200
560,175,0,105,33
441,952,180,1349,410
113,136,0,47,11
839,538,0,647,562
724,993,88,281,46
24,44,0,5,0
149,144,0,222,53
862,726,0,604,393
716,475,0,344,247
197,159,0,92,13
1562,1560,201,1223,595
529,255,0,247,188
0,0,0,0,0
0,0,0,0,0
564,501,0,827,434
959,1073,90,326,164
42,2,0,3,3
601,556,0,331,236
510,588,0,861,376
568,279,0,285,85
569,509,0,971,586
445,207,0,290,82
232,299,0,382,86
574,339,0,291,204
457,524,0,1225,620
639,373,0,380,186
729,559,0,371,270
0,0,0,0,0
0,0,0,0,0
663,463,0,661,307
857,682,0,1393,606
312,309,34,82,8
119,350,81,11,3
0,1,0,0,0
0,0,0,0,0
129,28,0,17,14
0,0,0,0,0
107,153,0,47,8
47,103,0,35,12
0,0,0,0,0
28,62,19,2,0
1853,2037,185,933,263
130,207,36,17,3
0,0,0,0,0
401,608,63,84,18
260,52,0,3,1
258,620,121,35,5
0,0,0,0,0
762,896,0,1722,1007
293,347,47,179,59
375,665,79,386,92
619,612,0,457,90
297,357,72,17,0
215,236,0,105,20
257,320,62,52,5
0,0,0,0,0
135,225,0,60,4
5,9,8,0,0
238,383,0,100,15
978,1101,58,182,75
482,220,0,179,43
364,269,0,514,115
246,382,0,132,22
0,0,0,0,0
479,368,0,356,165
382,236,0,237,78
354,254,0,198,105
0,0,0,0,0
172,241,0,65,8
302,172,0,76,7
856,703,49,303,119
0,0,0,0,0
253,361,93,146,20
69,142,32,21,0
480,449,0,257,124
528,439,55,190,53
565,1058,112,233,28
487,744,81,146,45
225,594,95,21,3
0,0,0,0,0
87,72,0,68,13
0,0,0,0,0
471,455,45,60,4
683,662,31,407,132
63,75,10,16,6
163,23,0,2,0
362,197,14,7,1
406,482,0,144,68
175,278,21,51,14
81,59,0,29,20
0,0,0,0,0
321,224,0,52,18
0,0,0,0,0
1212,1345,126,606,326
0,0,0,0,0
52,55,0,35,6
1953,1667,0,1862,811
404,331,0,197,61
70,19,0,12,2
14,37,21,6,0
431,594,115,145,20
1102,1106,106,652,405
1122,1185,135,592,244
0,0,0,1,0
107,206,33,5,1
622,721,80,775,348
889,1178,112,708,456
128,48,0,2,3
95,99,16,3,0
0,0,2,0,0
450,890,178,519,84
457,768,137,569,118
590,490,0,525,359
834,899,63,443,119
436,846,142,293,31
665,946,107,381,97
831,876,47,378,163
0,0,0,0,0
255,493,58,208,53
181,170,24,28,6
404,622,115,671,276
246,372,0,203,46
378,445,37,93,34
647,1189,188,403,43
658,644,0,725,324
204,243,54,24,2
0,0,0,0,0
474,705,76,202,63
389,503,68,249,77
455,548,110,861,181
750,1165,192,2368,884
0,0,0,0,0
377,584,101,353,131
25,172,45,3,0
287,555,125,54,5
559,472,39,243,52
223,444,93,84,8
389,658,93,384,63
426,114,0,161,100
0,0,0,0,0
365,334,43,78,10
976,433,0,232,71
349,226,0,148,42
253,382,44,192,44
559,447,0,207,146
1092,1225,111,993,398
598,499,3,347,212
351,490,88,459,116
403,628,106,74,5
502,808,102,181,26
1044,943,83,950,440
1349,1220,123,1157,829
1153,1687,142,1212,397
818,818,51,332,191
618,493,0,271,150
180,124,0,104,15
387,876,214,271,21
286,240,0,706,557
117,55,0,20,3
32,31,0,16,0
1303,1364,92,524,176
530,710,92,514,95
844,596,0,433,159
511,558,0,279,139
715,791,94,435,101
1097,851,81,463,223
510,589,27,85,23
842,1006,93,577,161
1416,327,11,9,3
0,0,0,0,0
1044,1135,89,441,88
1995,1509,77,1036,631
864,1494,199,573,101
974,993,73,214,62
325,272,0,124,65
542,646,33,173,21
277,497,68,96,11
447,741,123,315,40
513,654,112,675,267
484,717,94,270,70
97,50,0,10,5
956,639,83,527,158
106,30,10,9,7
0,0,0,0,0
0,0,0,0,0
315,367,3,479,249
719,487,47,323,129
604,180,10,69,40
1168,1141,78,462,153
519,530,47,199,42
269,460,86,10,3
286,508,115,514,128
1,0,0,0,0
468,1085,195,2184,599
372,485,73,100,21
823,825,47,590,320
0,0,0,0,0
481,302,15,125,59
0,0,0,0,0
1737,1393,156,978,726
495,435,0,419,132
262,357,82,28,2
380,580,84,27,5
966,1195,121,468,246
373,435,91,6,0
376,616,79,123,18
0,0,0,0,0
180,188,30,21,5
166,145,13,19,3
1114,1516,131,1075,592
388,581,91,78,7
910,836,0,1715,759
7,3,0,7,1
904,792,65,562,237
447,541,93,273,52
421,359,70,252,153
2,1,0,1,1
452,125,0,22,9
238,221,0,93,18
847,823,81,698,246
173,219,34,34,7
220,523,99,137,17
93,128,1,60,13
555,797,63,159,60
253,231,37,164,77
630,741,59,613,258
791,1243,170,996,270
187,498,70,19,6
757,958,81,493,116
42,21,0,16,3
211,324,46,14,2
0,0,0,0,0
859,432,0,527,241
1347,1687,241,1933,453
409,834,143,146,5
551,489,87,143,55
131,182,26,112,23
1039,1064,96,922,716
354,707,110,169,36
1595,1832,189,1434,841
962,915,94,470,115
651,886,148,489,90
968,1101,168,1458,506
946,1125,128,279,60
259,63,0,0,0
441,344,2,265,77
140,363,95,37,31
333,185,0,122,100
992,1002,91,697,366
774,737,66,376,258
0,0,0,0,0
724,363,0,657,369
61,50,7,8,1
433,665,105,78,8
70,87,0,39,2
46,124,34,4,0
344,403,53,119,25
1,0,0,1,0
637,646,58,188,108
1093,1491,133,2096,1231
830,477,31,79,34
0,0,0,0,0
0,0,0,0,0
397,293,21,332,118
275,229,38,89,14
253,288,13,244,49
304,302,48,32,8
411,820,109,1250,324
429,487,50,179,65
282,370,74,139,25
721,917,84,269,101
350,538,87,45,3
431,720,77,199,70
451,457,69,75,27
450,461,0,512,114
9,20,0,1,2
335,363,0,273,31
178,285,45,34,12
825,321,13,25,17
481,595,42,135,24
570,387,0,320,141
763,695,100,337,72
478,702,132,94,8
466,587,96,363,58
75,60,9,3,0
0,0,0,0,0
0,0,0,0,0
521,380,0,262,123
0,0,0,0,0
452,657,83,156,29
911,845,85,388,156
0,0,0,0,0
292,400,69,162,21
721,760,67,385,82
518,399,66,140,25
755,657,65,451,182
704,594,71,474,219
422,500,92,332,90
339,455,89,87,16
526,517,83,327,94
275,415,86,50,9
536,576,101,155,39
637,489,0,824,373
0,0,0,0,0
497,576,100,206,48
237,331,57,47,4
400,749,118,162,17
1611,1541,112,916,336
228,240,0,361,73
0,0,0,0,0
0,0,0,0,0
289,416,80,142,26
250,484,71,84,2
117,115,8,11,1
533,486,81,378,69
212,318,43,157,21
1040,1081,107,519,121
75,116,28,4,1
108,177,22,28,7
727,732,63,232,46
391,671,156,503,79
0,0,0,0,0
654,474,0,629,509
250,340,50,54,5
18,19,4,5,1
435,517,60,201,66
0,0,0,0,0
585,927,138,521,127
0,0,0,0,0
557,592,0,1456,1503
0,0,1,0,0
269,138,16,62,16
230,590,133,495,128
120,298,79,16,2
231,353,64,54,5
0,0,0,0,0
315,367,30,43,7
0,1,0,0,0
520,816,172,256,40
444,784,165,78,10
368,410,120,302,43
835,853,70,1028,892
0,0,0,0,0
270,448,81,77,9
309,515,67,190,23
555,815,128,399,111
165,234,57,27,1
50,95,0,18,3
864,783,84,364,148
306,414,79,155,11
1100,1354,138,625,205
401,308,0,339,131
245,291,56,74,6
186,194,0,64,20
49,28,0,110,58
547,473,42,287,103
17,18,4,2,3
329,237,38,107,25
405,751,98,228,32
132,224,28,53,6
290,644,203,44,5
0,0,0,0,0
440,618,83,148,17
635,750,68,457,140
252,296,29,31,3
762,871,116,638,126
34,95,18,4,1
41,194,88,7,1
549,500,0,341,215
1197,1065,107,825,464
682,612,1,653,381
649,615,80,220,53
396,719,166,1056,389
235,259,0,195,29
350,526,83,474,187
155,230,30,73,14
882,659,48,89,28
848,1054,189,295,203
39,52,4,10,0
131,260,36,24,7
323,637,124,183,12
0,0,0,0,1
192,75,0,24,6
792,785,83,531,259
333,478,76,197,31
578,415,0,453,352
498,347,6,354,190
454,277,0,549,208
810,718,51,375,125
819,600,92,888,442
651,633,0,271,101
24,4,0,5,1
468,190,0,150,113
0,0,0,0,0
952,722,74,319,99
931,905,77,411,71
36,48,5,46,10
573,999,203,392,43
204,27,0,60,60
962,728,79,805,237
845,891,96,962,511
176,93,0,14,8
166,460,91,29,0
439,116,0,143,93
1208,1296,141,790,410
435,343,9,205,79
1282,1159,122,831,261
915,1200,145,1196,451
962,894,93,711,266
0,0,0,0,0
385,280,0,383,307
0,0,0,0,0
304,463,32,78,20
505,490,0,3389,3151
115,156,0,69,14
535,403,0,637,456
343,231,0,237,139
0,0,0,0,0
0,0,0,0,0
570,543,0,336,98
566,506,0,275,122
793,756,76,412,191
95,62,0,59,41
494,460,0,385,172
118,76,3,1,0
374,83,0,17,3
81,99,22,10,0
46,104,0,27,3
320,695,98,509,161
55,25,0,3,1
611,613,72,189,61
0,0,0,0,0
203,218,27,32,5
175,442,80,295,38
0,0,0,0,0
563,609,0,403,241
419,719,122,143,16
349,464,91,665,302
154,278,45,127,15
67,320,107,5,1
417,496,106,251,41
0,0,0,0,0
551,848,158,350,75
861,1245,134,767,163
810,539,70,359,298
312,452,72,234,35
916,1089,121,1357,982
211,427,46,42,7
128,147,39,17,5
227,313,58,25,4
435,729,110,53,3
412,770,107,55,9
290,176,8,24,14
506,557,77,274,28
0,0,0,0,0
267,177,0,455,267
9,24,11,4,0
51,74,11,66,7
217,234,37,63,5
1232,1614,120,443,198
353,150,16,17,0
353,482,84,87,15
237,317,51,116,12
938,1236,111,1106,779
432,634,108,178,26
55,102,23,99,20
171,218,47,112,15
655,903,184,922,277
934,1111,149,1178,448
7,8,0,1,1
246,342,0,220,48
477,665,100,130,12
0,0,0,0,0
0,2,0,0,1
0,0,0,0,0
434,539,65,167,10
330,638,145,263,17
314,290,37,37,2
0,0,0,0,0
395,355,47,254,108
807,715,72,413,134
1188,1224,95,765,488
0,1,0,0,0
348,309,38,158,66
145,169,33,8,0
88,83,10,0,1
728,955,84,415,63
131,395,78,26,2
0,0,0,0,0
0,0,0,6,2
0,0,0,0,0
351,509,83,77,7
0,0,0,0,0
26,13,0,30,15
609,521,18,460,247
203,254,35,6,2
402,608,55,120,22
0,0,0,0,0
570,946,106,332,60
690,1075,254,263,29
307,445,85,227,41
164,264,73,34,1
414,668,111,199,21
0,0,0,0,0
224,248,35,66,9
621,734,60,238,53
1103,1017,131,903,544
608,340,0,626,455
689,641,48,176,37
544,977,203,1001,210
251,261,35,66,18
23,3,0,2,4
906,745,5,983,294
764,381,0,904,457
574,394,72,282,91
750,705,27,138,56
926,726,0,548,320
424,702,69,108,14
396,574,96,282,44
0,0,0,0,0
759,845,87,322,155
357,526,78,182,45
848,1013,96,317,193
951,1062,88,478,117
1113,1836,309,449,51
1055,1479,193,948,163
300,461,94,111,22
782,905,73,406,128
13,17,0,6,6
377,162,0,52,12
315,284,32,9,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
362,694,129,94,9
0,0,0,0,0
323,149,2,243,84
747,623,52,443,237
536,183,8,1,4
1309,2077,165,316,50
88,299,103,24,2
0,0,0,0,1
1,0,0,4,4
825,667,0,651,339
146,430,123,16,2
423,490,78,342,123
321,551,69,186,48
251,476,84,283,141
64,41,11,4,3
670,337,27,47,9
32,39,5,5,1
213,448,45,27,7
0,1,1,0,0
432,829,184,140,17
234,534,76,4,2
189,212,15,4,1
0,0,0,0,0
134,110,21,20,4
91,230,57,6,1
1,1,0,0,0
0,0,0,0,0
34,76,0,30,7
274,453,66,121,29
0,1,0,2,0
581,704,56,182,46
210,210,16,52,14
0,0,0,0,0
321,90,0,7,0
594,458,0,432,203
814,1185,70,518,200
519,933,138,492,178
549,457,0,300,190
1076,1237,101,735,273
12,62,0,18,5
0,0,0,0,0
417,836,131,184,19
638,641,95,429,194
0,2,1,0,0
36,5,0,5,0
337,629,160,91,10
624,591,79,548,192
19,128,70,3,0
2,0,0,4,3
494,459,0,249,58
49,91,13,7,0
2132,1961,210,1922,950
253,321,64,45,8
0,0,0,0,0
0,0,0,0,0
372,600,88,117,33
717,429,25,199,45
1044,1020,106,566,259
522,651,109,362,30
0,0,0,0,0
231,65,0,65,41
172,170,14,84,18
464,573,43,142,45
603,843,73,358,153
398,681,87,259,28
378,674,153,101,11
579,717,71,1176,472
268,433,69,30,2
360,531,88,292,71
597,1310,212,1497,538
843,1037,100,559,250
745,1046,162,1017,579
23,15,2,11,2
253,251,29,4,1
206,267,39,75,4
379,556,95,115,8
344,341,30,167,101
366,507,84,90,1
285,442,2,646,259
412,415,0,168,59
43,22,0,27,4
342,439,74,169,95
361,577,55,218,29
676,1192,135,951,184
551,449,0,852,445
635,627,53,370,94
883,717,89,413,122
257,145,17,63,30
759,526,0,414,266
579,832,163,594,131
1061,1204,148,887,387
244,317,47,58,11
270,472,122,856,285
208,448,86,177,18
761,735,63,419,362
823,915,75,589,379
74,76,0,26,9
0,0,0,0,0
0,0,0,0,0
812,544,0,603,346
599,572,71,321,63
737,537,58,311,121
661,338,6,293,212
311,424,68,148,10
0,0,0,0,0
92,30,0,20,5
136,430,84,30,10
451,574,106,75,8
294,597,49,149,19
218,332,49,145,36
104,229,14,151,18
473,606,68,461,253
471,554,67,257,88
177,402,98,87,12
197,285,66,57,10
